,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written,treatment,quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,book,plot,negative,average,,author,without keeping this in mind,
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the christian beliefs mixed with sexual abuse,,,,negative,strong,,author,,followed by a courageous exit
4,,,courageous exit,,,,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,you,reader,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,character,plot,negative,average,i,author,at points,
7,,,character 's journey,ultimately satifying,character,plot,positive,average,i,author,,
8,b-7,OMG this book had my head spinning .,,OMG this book had my head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",,good to finish,book series,general,positive,weak,i,author,finally,
10,,,,not as much fun to read,book series,enjoyment,negative,average,i,author,as i had hoped,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,while not being at all didactic in the patronizing sense,
12,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,suggest,Roasting in Hell 's Kitchen,general,positive,average,i,author,"if you want more details about the man in general , his family , his struggles over the years",
14,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,treatments,effectiveness,positive,average,,author,,whether various treatments were actually extending the lifespans of those afflicted
15,,,book,n't the case,book,general,positive,strong,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
16,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"really expanded upon , elevating",plot,plot_development,positive,strong,we,author,lackluster minor plot thread,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
17,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,style,negative,strong,,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
18,b-17,Loved the book .,,Loved,book,general,positive,strong,,author,,
19,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,welfare system,effectiveness,negative,strong,,author,abused children,
20,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,quality,negative,strong,we,reader,,
21,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,,no humour,book,general,negative,weak,,author,,
22,,,ironic touch,bring an ironic touch,author,style,positive,average,,author,,
23,,,,not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
24,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,,inspirational,courage,general,positive,strong,,author,,
25,,,,lesson to us all,courage,general,positive,average,,author,,
26,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book content,content,positive,average,an avid diana fan,fan,,
27,,,certain facts,should not have been revealed,book content,content,negative,strong,,author,,
28,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,story,positive,strong,i,author,,
29,,,book,exceptional,book,general,positive,strong,i,author,,
30,,,treatment,comprehensive and detailed,book,content,positive,average,i,author,for the non-expert,
31,,,science ( and some of the politics ),clarity,book,content,positive,average,i,author,,
32,,,narrative,compelling and often moving,book,story,positive,strong,i,author,,
33,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
34,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
35,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
36,,,bathroom connected to the room,great addition,bathroom,functionality,positive,strong,,author,,
37,h-3,It 's a good place and will definitely consider to come again .,,good place,place,general,positive,average,it,author,,will definitely consider to come again
