,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,book,quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,reader,,
2,,,ending,not particularly satisfied,book,plot,negative,average,,reader,without keeping this in mind,this book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of christian beliefs mixed with sexual abuse,,,,negative,strong,,,,followed by a courageous exit
4,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,negative,weak,you,reader,after you 've read the rest,
5,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,character,plot,negative,average,i,author,at points,
6,,,character 's journey,ultimately satifying,character,plot,positive,strong,i,author,,
7,b-7,OMG this book had my head spinning .,,head spinning,book,general,positive,strong,OMG,author,,
8,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,series,completion,positive,average,i,author,finally,
9,,,magical world,escape into,world,enjoyment,positive,weak,i,author,,
10,,,series,not as much fun to read as I had hoped,series,enjoyment,negative,average,i,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,while not being at all didactic in the patronizing sense,
12,,,cancer the disease and its treatment,teaches the reader a great deal,cancer the disease and its treatment,informativeness,positive,strong,,author,,
13,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .","details about the man in general , his family , his struggles over the years",want more details,book,content,positive,strong,i,reader,,
15,,,Roasting in Hell 's Kitchen,suggest,book,recommendation,positive,average,i,reader,,
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,treatments,effectiveness,positive,average,,author,,
17,,,book,dreadfully boring,book,general,negative,strong,this,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
18,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter",plot,development,positive,strong,we,author,,
19,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,style,negative,strong,,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
20,b-17,Loved the book .,,Loved,book,general,positive,strong,,author,,
21,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,welfare system,effectiveness,negative,strong,,author,abused children,
22,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,quality,negative,strong,we,reader,,
23,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,no humour,book,style,negative,weak,,author,,
