,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,subject,quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,ending,plot,negative,weak,,author,without keeping this in mind,this book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of christian beliefs and sexual abuse,,content,theme,negative,strong,,author,,
4,,,courageous exit,courageous,exit,character_trait,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,you,reader,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,character development,plot,negative,strong,i,author,,
7,,,character's journey,ultimately satisfying,character development,plot,positive,average,i,author,,
8,b-7,OMG this book had my head spinning .,,head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",,good to finish the series finally,series,general,positive,weak,,author,,
10,,,,not as much fun to read as I had hoped,series,enjoyment,negative,average,i,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
12,,,cancer the disease and its treatment,great deal,cancer,general,positive,strong,,author,,
13,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",man in general,,man,general,,,i,author,,"want more details about the man in general , his family , his struggles over the years"
15,,,Roasting in Hell 's Kitchen,suggest,book,general,positive,average,i,author,,
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,extending the lifespans,treatments,effectiveness,positive,weak,,author,various,
17,,,book,dreadfully boring,book,general,negative,strong,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
18,,,book,n't the case,book,general,positive,strong,,author,,
19,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,narrative_structure,positive,strong,we,reader,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
20,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,writing,style,negative,strong,,author,"unsophisticated , almost juvenile in comparison to earlier volumes",
21,b-17,Loved the book .,,Loved,book,general,positive,strong,,author,,
22,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,welfare system,effectiveness,negative,strong,,author,abused children,
23,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,author,,
24,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,no humour,book,style,negative,weak,,author,,
25,,,ironic touch,bring an ironic touch,book,style,positive,average,,author,,
26,,,book,not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
27,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 lady,character_trait,positive,strong,,author,,
28,,,courage,lesson to us all,3 lady,character_trait,positive,strong,,author,,
29,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,content_quality,positive,average,for an avid diana fan,,,
30,,,certain facts,should not have been revealed,content,content_quality,negative,strong,,author,,
31,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,literary_quality,positive,strong,i,author,,
32,,,book,exceptional,book,general,positive,strong,i,author,,
33,,,treatment,comprehensive and detailed,book,content,positive,strong,i,author,for the non-expert,
34,,,science and politics,clarity,book,content,positive,average,i,author,,
35,,,narrative,compelling and often moving,book,literary_quality,positive,strong,i,author,,
36,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
37,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
38,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
39,,,bathroom connected to the room,great addition,bathroom,functionality,positive,strong,,author,,
40,h-3,It 's a good place and will definitely consider to come again .,,good place,place,general,positive,average,,author,,will definitely consider to come again
41,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,weak,,author,with a few groceries for breakfasts and snacks,
42,h-5,"The apartment is kept very clean , and nicely furnished .",cleanliness,very clean,apartment,physical_attributes,positive,strong,,author,,
43,,,furniture,nicely furnished,apartment,physical_attributes,positive,average,,author,,
44,h-6,Really great location close to so many restaurants .,location,really great,location,general,positive,strong,,author,close to so many restaurants,
45,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,oine,general,positive,strong,,author,,
46,,,responsiveness,very responsive,oine,communication,positive,strong,,author,by text and email,
47,,,preparation,thoughtful,oine,service,positive,average,,author,,
48,,,apartment,spotless and nicely decorated,apartment,cleanliness and aesthetics,positive,strong,,author,,
49,,,atmosphere,feels like home,apartment,general,positive,strong,,author,,
50,h-8,Excellent space in a fantastic location .,space,excellent,space,general,positive,strong,,author,,
51,,,location,fantastic,location,general,positive,strong,,author,,
52,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,you,,,
53,h-10,By far one of the best locations you could stay at in Boston .,,one of the best locations,location,general,positive,strong,,author,,
54,h-11,Everything was super clean .,,super clean,environment,general,positive,strong,,author,,
55,h-13,Entry was simple and easy .,,simple and easy,entry process,general,positive,strong,,author,,
56,h-14,Great location close to the Commons .,location,Great,location,general,positive,strong,,author,close to the Commons,
57,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",,feel welcome,hosts,general,positive,strong,i,author,,
58,,,,"helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning",hosts,general,positive,strong,i,author,,
59,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,amenities,negative,strong,,author,,
60,,,bathroom,must share,bathroom,amenities,negative,average,,author,,
61,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,hit,rooftop,location,positive,strong,,author,,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
62,,,views,perfect,views,visual_appeal,positive,strong,,author,,
63,h-20,I highly recommend it !,,highly recommend,product,general,positive,strong,i,author,,
64,h-24,Excellent location for exploring Boston .,location,excellent,location,general,positive,strong,,author,,
65,h-21,Best location in Boston .,,Best,location,general,positive,strong,,author,,
66,h-28,Great attention to detail and very good communication,attention to detail,great,service,quality,positive,strong,,author,,
67,,,communication,very good,service,quality,positive,strong,,author,,
68,c-1,I enjoy dancing with these shoes on my feet .,shoes,enjoy dancing,shoes,functionality,positive,average,i,author,,
69,c-2,Super crinoline for the price !,,Super,crinoline,general,positive,strong,,author,for the price,
70,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,transition option,functionality,positive,weak,you,reader,,so you can wear them as leggings
71,c-4,They hold up great !,,great,,general,positive,strong,they,,,
72,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,i,author,,they were not leather and they were made in China
73,,,origin,disappointed,shoes,origin,negative,strong,i,author,,they were made in China
74,c-7,I use them for musical theatre productions and they holdup well .,,holdup well,them,durability,positive,strong,i,author,,
75,c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,shoes,comfort,positive,strong,they,she,,
76,,,,perfect,shoes,general,positive,strong,they,she,,
77,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,fit,negative,strong,i,author,,
78,,,,will return,product,general,negative,strong,i,author,,
79,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,shoes,comfort,positive,strong,i,author,,
80,,,shoes,stylish,shoes,appearance,positive,average,i,author,,
81,c-12,I bought 2 other pairs for other cast members !,,bought,pairs,general,positive,strong,i,author,,
82,c-13,Comfortable and attractive .,,Comfortable and attractive,product,general,positive,average,,author,,
83,c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,,author,,
84,c-16,These shoes are great .,,great,shoes,general,positive,strong,,author,,
85,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",legs,beautiful,legs,appearance,positive,strong,,author,,
86,,,seams,coming apart,seams,durability,negative,average,,author,,
87,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,average,i,author,,exactly what i expected
88,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,boots,quality,positive,strong,my husband,husband,,
89,c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
90,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,size chart,accuracy,positive,strong,you,reader,,
91,c-21,The soles are soft too .,soles,soft,soles,material_quality,positive,weak,,author,,
92,c-24,Order 1 size larger than needed .,size,larger than needed,clothing,size,negative,strong,,author,,
93,l-1,Great for Programming and for low end gaming,programming,great,device,functionality,positive,strong,,author,,
94,,,low end gaming,great,device,functionality,positive,strong,,author,,
95,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken displays,display,functionality,negative,strong,,author,,"leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
96,l-3,Images are too dark and blurry .,Images,too dark and blurry,Images,visual_quality,negative,strong,,author,,
97,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,device,general,positive,strong,i,author,,
98,l-6,I 'm a mac user and I would love to get this laptop .,,love to get,laptop,general,positive,strong,i,mac user,,
99,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy,keyboard,tactile_feedback,negative,strong,,author,,no tactile feedback
100,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,,
101,,,Intel processor,having an 8th gen Intel processor,processor,feature,positive,average,,author,8th gen,
102,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,well made,laptop,physical_quality,positive,strong,,author,,
103,,,keyboard,"comfortable , well-sized",keyboard,usability,positive,average,,author,,
104,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,quality,positive,average,,author,for discord/google hangouts/etc,
105,,,microphone,high enough quality,microphone,quality,positive,average,,author,for discord/google hangouts/etc,
106,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,tactile_feedback,positive,average,,author,,
107,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",performance,performs worse,computer,operational_performance,negative,strong,,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
108,l-15,It took a few weeks for them to send it back .,delivery time,,service,service_quality,negative,weak,it,customer,,took a few weeks
109,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,solution,effectiveness,negative,strong,i,author,,
110,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,device,performance,positive,average,,author,,
111,l-19,I really liked the laptop for its sleekness and weight .,sleekness,liked,laptop,design,positive,strong,i,author,,
112,,,weight,liked,laptop,physical_attributes,positive,strong,i,author,,
113,l-24,Delivery - very fast by courier .,delivery,very fast,delivery service,delivery_speed,positive,strong,,author,,
114,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
115,,,screen,not the best but its good,display,visual_quality,positive,average,,author,for the price,
116,,,laptop,cheap gaming laptop and works with every game i trow at it,laptop,performance,positive,strong,,author,,
117,l-26,"Laptop was new , in perfect condition and works like a charm .",condition,perfect condition,laptop,physical_quality,positive,strong,,author,,
118,,,performance,works like a charm,laptop,functional_performance,positive,strong,,author,,
119,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,battery,performance,positive,average,i,author,,as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
120,l-21,Feel really disappointed as was so happy with previous model .,previous model,so happy,product,general,positive,strong,,author,,
121,,,current model,really disappointed,product,general,negative,strong,,author,,
122,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",coupon,whatever,coupon,value,neutral,average,i,author,,
123,,,waiting time,incredibly long time,service,service_quality,negative,strong,we,author,,
124,r-2,I come here because you leave full and with money still in your pockets .,,full and with money still in your pockets,restaurant,general,positive,strong,i,customer,,
125,r-3,I love hot pot but the service just makes things bad here .,service,makes things bad,service,service,negative,strong,i,author,,
