,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,content,quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,reader,,
2,,,ending,not particularly satisfied,ending,plot,negative,weak,,reader,without keeping this in mind,this book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of christian beliefs and sexual abuse,,content,theme,negative,strong,,author,,
4,,,courageous exit,courageous,exit,plot,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,you,reader,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,plot,narrative,negative,strong,i,reader,,
7,,,character 's journey,ultimately satifying,plot,narrative,positive,strong,i,reader,,
8,b-7,OMG this book had my head spinning .,,head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,series,general,positive,weak,it,author,,
10,,,reading,not as much fun,book,enjoyment,negative,weak,i,author,as i had hoped,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,,while not being at all didactic in the patronizing sense
12,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",man in general,,man,character,,,i,author,,"want more details about the man in general , his family , his struggles over the years"
14,,,Roasting in Hell 's Kitchen,suggest,book,general,positive,average,i,author,,
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,extending the lifespans,treatments,effectiveness,positive,weak,,author,various,whether various treatments were actually extending the lifespans of those afflicted
16,,,book,n't the case,book,general,positive,strong,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",plot thread,lackluster,plot,narrative,negative,weak,,author,minor,
18,,,plot thread,worthy of Midkemia 's final chapter,plot,narrative,positive,strong,,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
19,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,style,negative,strong,,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
20,b-17,Loved the book .,,Loved,book,general,positive,strong,,author,,
21,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,welfare system,effectiveness,negative,strong,,author,abused children,
22,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,reader,,
23,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,style,negative,weak,,author,,not that there is no humour
24,,,ironic touch,bring an ironic touch,book,style,positive,average,,author,,
25,,,book,not for the faint hearted,book,general,negative,strong,,author,,this is not a crime novel for the faint hearted
26,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 lady,personality_trait,positive,strong,,author,,a lesson to us all
27,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,content_quality,positive,average,for an avid diana fan,diana fan,,
28,,,certain facts,should not have been revealed,content,content_quality,negative,strong,,author,,
29,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,story,plot,positive,strong,i,author,,
30,,,book,exceptional,book,general,positive,strong,i,author,,
31,,,treatment,comprehensive and detailed,explanation,quality,positive,strong,i,author,for the non-expert,
32,,,science and politics,clarity,explanation,quality,positive,average,i,author,,
33,,,narrative,compelling and often moving,story,plot,positive,strong,i,author,,
34,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
35,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
36,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
37,,,bathroom connected to the room,great addition,bathroom,functionality,positive,strong,,author,,
38,h-3,It 's a good place and will definitely consider to come again .,,good place,place,general,positive,average,,author,,will definitely consider to come again
39,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,average,,author,with a few groceries for breakfasts and snacks,
40,h-5,"The apartment is kept very clean , and nicely furnished .",cleanliness,very clean,apartment,physical_attributes,positive,strong,,author,,
41,,,furniture,nicely furnished,apartment,physical_attributes,positive,average,,author,,
42,h-6,Really great location close to so many restaurants .,location,really great,location,general,positive,strong,,author,close to so many restaurants,
43,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,oine,general,positive,strong,,author,,
44,,,responsiveness,very responsive,oine,communication,positive,strong,,author,by text and email,
45,,,preparation,thoughtful,oine,service,positive,average,,author,,
46,,,apartment,spotless and nicely decorated,apartment,cleanliness and aesthetics,positive,strong,,author,,
47,,,apartment,feels like home,apartment,general,positive,strong,,author,,
48,h-8,Excellent space in a fantastic location .,space,excellent,space,general,positive,strong,,author,,
49,,,location,fantastic,location,general,positive,strong,,author,,
50,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,you,,staying in Boston,
51,h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,location,general,positive,strong,you,,,
52,h-11,Everything was super clean .,,super clean,environment,general,positive,strong,,author,,
53,h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
54,h-14,Great location close to the Commons .,location,Great,location,general,positive,strong,,author,close to the Commons,
55,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hosts,hospitality,positive,strong,i,guest,,
56,,,hosts,"helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning",hosts,hospitality,positive,strong,i,guest,,
57,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,location,amenities,negative,strong,,author,,
58,,,bathroom,must share,bathroom,amenities,negative,strong,,author,,
59,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,hit,rooftop,location,positive,strong,,author,,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
60,,,views,perfect,views,visual_appeal,positive,strong,,author,,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
61,h-20,I highly recommend it !,,highly recommend,book,general,positive,strong,i,author,,
62,h-24,Excellent location for exploring Boston .,location,excellent,location,general,positive,strong,,author,,
63,h-21,Best location in Boston .,,Best,location,general,positive,strong,,,,
64,h-28,Great attention to detail and very good communication,attention to detail,great,service,quality,positive,strong,,author,,
65,,,communication,very good,service,quality,positive,strong,,author,,
66,c-1,I enjoy dancing with these shoes on my feet .,,enjoy dancing,shoes,general,positive,average,i,author,,
67,c-2,Super crinoline for the price !,,Super,crinoline,general,positive,strong,,author,for the price,
68,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,transition option,functionality,positive,weak,,author,,so you can wear them as leggings
69,c-4,They hold up great !,,great,They,general,positive,strong,,author,,
70,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,i,author,,they were not leather and they were made in China
71,c-7,I use them for musical theatre productions and they holdup well .,,holdup well,them,durability,positive,strong,i,author,,
72,c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,shoes,comfort,positive,strong,they,she,,
73,,,,perfect,shoes,general,positive,strong,they,she,,
74,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,fit,negative,strong,i,customer,very carefully this morning,
75,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,shoes,comfort,positive,strong,i,author,,
76,,,shoes,stylish,shoes,appearance,positive,average,i,author,,
77,c-12,I bought 2 other pairs for other cast members !,,bought,pairs,general,positive,strong,i,author,,
78,c-13,Comfortable and attractive .,,Comfortable and attractive,product,general,positive,strong,,author,,
79,c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,,author,,
80,c-16,These shoes are great .,,great,shoes,general,positive,strong,,author,,
81,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",legs,beautiful,legs,appearance,positive,strong,i,author,,
82,,,seams,coming apart,seams,durability,negative,strong,i,author,,
83,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,average,i,customer,exactly what i expected,
84,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,boots,quality,positive,strong,my husband,husband,,
85,c-20,Very small fit .,fit,very small,clothing,size,negative,strong,,author,,
86,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,size chart,accuracy,positive,strong,you,user,,
87,c-21,The soles are soft too .,soles,soft,shoes,material_quality,positive,weak,,author,,
88,c-24,Order 1 size larger than needed .,size,larger than needed,clothing,fit,negative,strong,,author,,
89,l-1,Great for Programming and for low end gaming,,Great,product,general,positive,strong,,,for Programming and for low end gaming,
90,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken displays,display,functionality,negative,strong,,author,when the magsafe plug is caught inside the computer upon closing,breaking the monitor
91,l-3,Images are too dark and blurry .,Images,too dark and blurry,Images,visual_quality,negative,strong,,author,,
92,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,device,general,positive,strong,i,author,,
93,l-6,I 'm a mac user and I would love to get this laptop .,,love to get,laptop,general,positive,strong,i,author,,
94,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy,keyboard,tactile_feedback,negative,strong,,author,,no tactile feedback
95,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,,especially having an 8th gen Intel processor
