,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written treatment,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,ending,plot,negative,weak,,author,without keeping this in mind,this book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of christian beliefs and sexual abuse,,content,thematic_content,negative,strong,,author,,
4,,,courageous exit,courageous,exit,character_trait,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,you,reader,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,plot,narrative,negative,strong,i,author,,
7,,,character 's journey,ultimately satifying,plot,narrative,positive,strong,i,author,,
8,b-7,OMG this book had my head spinning .,,head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,series,general,positive,weak,,author,,
10,,,reading the series,not as much fun to read as I had hoped,series,enjoyment,negative,weak,i,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,,while not being at all didactic in the patronizing sense
12,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .","details about the man in general , his family , his struggles over the years",,book,content,positive,average,i,author,,
14,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,extending the lifespans,treatments,effectiveness,positive,weak,,author,,whether various treatments were actually extending the lifespans of those afflicted
15,,,book,n't the case,book,general,positive,strong,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
16,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,narrative_structure,positive,strong,we,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
17,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,style,negative,strong,,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
18,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
19,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,welfare system,effectiveness,negative,strong,,author,abused children,
20,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,author,,
21,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,style,negative,weak,,author,,not that there is no humour
22,,,ironic touch,bring an ironic touch,author,style,positive,average,,author,,
23,,,book,not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
24,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,character_trait,positive,strong,,author,,a lesson to us all
25,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,general,positive,average,for an avid diana fan,,,
26,,,certain facts,should not have been revealed,content,general,negative,strong,,author,,
27,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,literary_quality,positive,strong,i,author,,
28,,,book,exceptional,book,general,positive,strong,,author,,
29,,,treatment,comprehensive and detailed,book,content,positive,strong,,author,for the non-expert,
30,,,science and politics,clarity,book,content,positive,average,,author,,
31,,,narrative,compelling and often moving,book,literary_quality,positive,strong,,author,,
32,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
33,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
34,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
35,,,bathroom connected to the room,great addition,bathroom,functionality,positive,strong,,author,,
36,h-3,It 's a good place and will definitely consider to come again .,,good place,place,general,positive,average,,author,,will definitely consider to come again
37,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,average,,author,with a few groceries for breakfasts and snacks,
38,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,
39,,,apartment,nicely furnished,apartment,furnishing,positive,average,,author,,
40,h-6,Really great location close to so many restaurants .,location,really great,location,general,positive,strong,,author,close to so many restaurants,
41,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,oine,general,positive,strong,,author,,
42,,,responsiveness,very responsive,oine,communication,positive,strong,,author,by text and email,
43,,,preparation,thoughtful,oine,service,positive,average,,author,,
44,,,apartment,spotless and nicely decorated,apartment,cleanliness and aesthetics,positive,strong,,author,,
45,,,apartment,feels like home,apartment,general,positive,strong,,author,,
46,h-8,Excellent space in a fantastic location .,space,excellent,space,general,positive,strong,,author,,
