,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,book,writing_quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like it,book,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,book,plot,negative,average,,author,without keeping this in mind,this book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,religion,ethical_issues,negative,strong,,author,,
4,,,courageous exit,courageous exit,action,personal_experience,positive,average,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,negative,average,you,reader,if you 're into diana books,after you 've read the rest
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,story,plot,negative,average,I,author,at points,
7,,,character 's journey,ultimately satifying,story,plot,positive,average,I,author,,
8,b-7,OMG this book had my head spinning .,book,had my head spinning,book,plot,positive,strong,OMG,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,book series,completion,positive,average,,author,,
10,,,magical world,escape into the magical world,book series,theme,positive,average,,author,,
11,,,reading experience,not as much fun to read,book series,enjoyment,negative,average,,author,,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,book,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
13,b-12,Highly recommend this book .,this book,Highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,would suggest,book,general,positive,average,I,author,"if you want more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,,medical treatment,effectiveness,neutral,average,,author,,whether various treatments were actually extending the lifespans of those afflicted
16,,,this book,dreadfully boring,book,general,negative,strong,,author,above discussion of science and statistics,
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter",plot,narrative_structure,positive,strong,,author,,
18,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,writing_style,negative,strong,,author,"unsophisticated , almost juvenile in comparison to earlier volumes",
19,b-17,Loved the book .,book,Loved,book,general,positive,strong,,author,,
20,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,Sad tale,welfare system,social_impact,negative,strong,,author,,just how easy it is for these abused children to get lost in the welfare system
21,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,author,,
22,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,neutral,average,,author,,
23,,,darkest scenes,ironic touch,book,tone,neutral,average,,author,,
24,,,crime novel,faint hearted,book,target_audience,negative,weak,,author,,
25,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,personality,positive,strong,,author,a lesson to us all,
26,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,general,positive,average,For an avid Diana fan,avid Diana fan,,
27,,,certain facts,should not have been revealed,content,general,negative,average,For an avid Diana fan,avid Diana fan,,
28,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,narrative_quality,positive,strong,i,author,,"Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner."
29,,,exceptional book,,book,general,positive,strong,i,author,,"As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative ."
30,,,comprehensive and detailed treatment,,book,content_quality,positive,strong,i,author,for the non-expert,"As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative ."
31,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
32,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
33,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
34,,,bathroom connected to the room,great addition,bathroom,functionality,positive,average,,author,,
35,h-3,It 's a good place and will definitely consider to come again .,,good place,restaurant,general,positive,average,,author,,
36,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,average,,author,,
37,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,apartment,cleanliness,positive,strong,,,,
38,,,apartment,nicely furnished,apartment,furniture,positive,average,,,,
39,h-6,Really great location close to so many restaurants .,location,Really great,restaurant,proximity,positive,strong,,author,close to so many restaurants,
40,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",Oine,terrific host,host,general,positive,strong,,author,,
41,,,Oine,very responsive by text and email,host,communication,positive,average,,author,,
42,,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,average,,author,,
43,,,apartment,feels like home,apartment,comfort,positive,average,,author,,
44,h-8,Excellent space in a fantastic location .,space,Excellent,space,general,positive,strong,,author,,
45,,,location,fantastic,location,general,positive,strong,,author,,
46,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,,author,if you 're staying in Boston,
47,h-10,By far one of the best locations you could stay at in Boston .,locations,one of the best,hotel,general,positive,strong,,author,in Boston,
48,h-11,Everything was super clean .,everything,super clean,environment,cleanliness,positive,strong,,author,,
49,h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,average,,author,,
50,h-14,Great location close to the Commons .,location,Great,location,general,positive,strong,,author,close to the Commons,
