,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,writing_quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like it,book,general,positive,strong,i,author,,
2,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,,religion,ethical_conduct,negative,strong,,author,,
3,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,negative,weak,if you 're into diana books,reader,after you 've read the rest,
4,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,story,plot,negative,average,i felt,author,at points,
5,,,character 's journey,ultimately satifying,story,plot,positive,average,,author,,
6,b-7,OMG this book had my head spinning .,book,had my head spinning,book,plot,positive,strong,OMG,author,,
7,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,book series,completion,positive,average,still,author,,
8,,,magical world,escape into,book series,theme,positive,average,just not as much fun to read as i had hoped,author,,
9,,,reading experience,not as much fun to read,book series,enjoyment,negative,average,just not as much fun to read as i had hoped,author,,
10,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
11,b-12,Highly recommend this book .,book,highly recommend,book,general,positive,strong,,author,,
12,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,would suggest,book,general,positive,average,I,author,"if you want more details about the man in general , his family , his struggles over the years",
13,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,medical treatment,effectiveness,neutral,average,,author,,
14,,,this book,dreadfully boring,book,readability,negative,strong,,author,,the above discussion of science and statistics
15,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"really expanded upon , elevating a lackluster minor plot thread to a level of significance",plot,narrative_structure,positive,strong,,author,,worthy of Midkemia 's final chapter
16,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,writing_style,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
17,b-17,Loved the book .,book,Loved,book,general,positive,strong,I,author,,
18,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,Sad tale,welfare system,social_impact,negative,strong,,author,,just how easy it is for these abused children to get lost in the welfare system
19,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,overall_quality,negative,strong,we,author,,
