,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,subject,writing_quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like it,book,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,book,plot,negative,average,,author,without keeping this in mind ( as other reviews have noted ),book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,courageous exit,,,positive,strong,,,,
4,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,neutral,average,,author,if you 're into diana books,after you 've read the rest
5,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough to plod through,character,narrative_arc,negative,average,i,author,at points,
6,,,character 's journey,ultimately satifying,character,narrative_arc,positive,average,i,author,,
7,b-7,OMG this book had my head spinning .,book,had my head spinning,content,plot,positive,strong,,author,,
8,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,book series,completion,positive,average,,author,finally,
9,,,magical world,some escape,book world,enjoyment,positive,weak,,author,,
10,,,reading experience,not as much fun to read,book,enjoyment,negative,average,,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,book,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
12,b-12,Highly recommend this book .,book,highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,would suggest,TV show,general,positive,average,,author,"if you want more details about the man in general , his family , his struggles over the years",
14,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,medical treatments,effectiveness,neutral,average,,author,,
15,,,this book,dreadfully boring,book,readability,negative,strong,,author,the above discussion of science and statistics,
16,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter",plot thread,narrative_structure,positive,strong,,author,,
17,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,style,negative,strong,,author,"unsophisticated , almost juvenile in comparison to earlier volumes",
18,b-17,Loved the book .,book,Loved,book,general,positive,strong,,author,,
19,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,Sad tale,welfare system,social_services,negative,strong,,author,just how easy it is for these abused children to get lost,
20,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,overall_quality,negative,strong,we,author,,
21,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,not that there is no humour,book,genre,neutral,average,,author,,
22,,,ironic touch,the author has the ability to bring an ironic touch,writing style,style,positive,average,,author,to the darkest scenes,
23,,,crime novel,not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
24,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,personal_quality,positive,strong,,author,a lesson to us all,
25,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,diana's life,personal_life,positive,average,avid diana fan,,,
26,,,certain facts,should not have been revealed,,,negative,average,avid diana fan,,,
27,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,story,positive,strong,,author,,
28,,,book,exceptional,book,general,positive,strong,,author,,
29,,,treatment,comprehensive and detailed,book,content,positive,strong,,author,for the non-expert,
30,,,science and politics,explained with clarity,book,content,positive,average,,author,,
31,,,narrative,compelling and often moving,book,story,positive,strong,,author,,
32,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
33,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
34,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
35,,,bathroom,great addition,bathroom,functionality,positive,strong,,author,connected to the room,
36,h-3,It 's a good place and will definitely consider to come again .,place,good place,location,general,positive,average,,author,,
37,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,average,,author,with a few groceries for breakfasts and snacks,
38,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,apartment,cleanliness,positive,strong,,,,
39,,,apartment,nicely furnished,apartment,furnishings,positive,average,,,,
40,h-6,Really great location close to so many restaurants .,location,really great,,proximity,positive,strong,,author,close to so many restaurants,
41,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",Oine as a host,terrific,Oine,hospitality,positive,strong,,guest,"very responsive by text and email , and thoughtful with her preparation of the apartment",
42,,,apartment preparation,spotless and nicely decorated,apartment,cleanliness and aesthetics,positive,strong,,guest,,
43,,,apartment atmosphere,feels like home,apartment,comfort and ambiance,positive,average,,guest,,
44,h-8,Excellent space in a fantastic location .,space,Excellent,,general,positive,strong,,,fantastic location,
