,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,writing_quality,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like it,content,general,positive,strong,i,author,,
2,,,ending,not particularly satisfied,content,plot,negative,weak,,author,without keeping this in mind (as other reviews have noted),book sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,,religion,social_issues,negative,strong,,author,,
4,,,courageous exit,courageous exit,action,personal_growth,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,reading_order,neutral,weak,,author,if you 're into diana books,after you 've read the rest
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,story,plot,negative,weak,i,author,at points,
7,,,character 's journey,ultimately satifying,story,plot,positive,strong,i,author,,
8,b-7,OMG this book had my head spinning .,book,had my head spinning,content,plot,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,book series,completion,positive,average,,author,finally,
10,,,magical world,some escape,fictional world,enjoyment,positive,weak,,author,,
11,,,reading experience,not as much fun to read,book series,enjoyment,negative,weak,,author,as I had hoped,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,content,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,
13,b-12,Highly recommend this book .,book,highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .","details about the man in general , his family , his struggles over the years",would suggest,Roasting in Hell 's Kitchen,biographical_information,positive,weak,i,author,"if you want more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,medical treatments,effectiveness,positive,average,,author,,
16,,,this book,dreadfully boring,book,readability,negative,strong,,author,the above discussion of science and statistics,
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter",plot,narrative_structure,positive,strong,,author,,
18,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,book,style,negative,strong,,author,"unsophisticated , almost juvenile in comparison to earlier volumes",
19,b-17,Loved the book .,book,loved,book,general,positive,strong,,author,,
20,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,welfare system,social_impact,negative,strong,,author,abused children,just how easy it is for these abused children to get lost in the welfare system
21,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,overall quality,negative,strong,we,author,,
22,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,neutral,,,author,,
23,,,crime novel,not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
24,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational & a lesson to us all,individuals,moral_character,positive,strong,,author,,
25,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,personal_life,positive,weak,avid diana fan,diana fan,,
26,,,certain facts,should not have been revealed,content,privacy,negative,strong,avid diana fan,diana fan,,
