,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,,,positive,strong,,,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,like,book,,positive,average,I,author,,
2,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,,,,,,,,,
3,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,,positive,average,,,,
4,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough to plod through,character 's journey,plot,negative,average,,author,,
5,b-7,OMG this book had my head spinning .,,had my head spinning,book,,positive,strong,,,,
6,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",,good,,,positive,average,,,,
7,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches the reader a great deal about cancer the disease and its treatment,book,,positive,average,,,,
8,b-12,Highly recommend this book .,,recommend,book,,positive,strong,,,,
9,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,,,,,,,,,
10,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",,,book,,,,,,,
11,,,,dreadfully boring,book,,negative,strong,,,,
12,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",a lackluster minor plot thread,,plot thread,plot,positive,average,,author,,
13,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,,,negative,strong,,,,
14,b-17,Loved the book .,,loved,book,,positive,strong,,,,
15,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,,,,negative,strong,,,,
16,b-19,And then we about hit rock bottom with The Demonwar Saga .,,hit rock bottom,,,negative,strong,,,,
17,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,,,,,,,,,,
18,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,,,positive,strong,,,,
19,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",,appreciated,,,positive,average,,avid diana fan,,
20,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",,compelling narrative,,,positive,strong,,,,
21,,,,good,,,positive,average,,,,
22,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,location,positive,strong,,,,
23,,,rooftop,beyond spectacular,rooftop,appearance,positive,strong,,,,
24,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,,,
25,,,bathroom,great addition,bathroom,,positive,strong,,,,
26,h-3,It 's a good place and will definitely consider to come again .,,good place,,,positive,average,,,,
27,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,grocery store,,,,,,,
28,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,,,
29,h-6,Really great location close to so many restaurants .,location,great,,,positive,strong,,,,
30,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",Oine,terrific,host,,positive,strong,,,,
31,h-8,Excellent space in a fantastic location .,space,excellent,location,location,positive,strong,,,fantastic,
32,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,,author,,
33,h-10,By far one of the best locations you could stay at in Boston .,locations,best,boston,,positive,strong,,,,
34,h-11,Everything was super clean .,everything,super clean,,,positive,strong,,,,
35,h-13,Entry was simple and easy .,entry,simple and easy,,,positive,average,,,,
36,h-14,Great location close to the Commons .,location,great,location,,positive,strong,,,,
37,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,,hospitality,positive,average,,,,
38,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,,location,amenities,negative,average,,,,
39,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,360 degree views,perfect,rooftop,,positive,strong,,,,70-80 degree weather we were enjoying
40,h-20,I highly recommend it !,,recommend,,,positive,strong,,,,
41,h-24,Excellent location for exploring Boston .,location,excellent,boston,,positive,strong,,,,
42,h-21,Best location in Boston .,location,best,boston,,positive,strong,,,,
43,h-28,Great attention to detail and very good communication,attention to detail,great,,,positive,strong,,,,
44,c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,dancing,,positive,average,,author,,
45,c-2,Super crinoline for the price !,,Super,,,positive,strong,,,,
46,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,,,positive,average,,,,
47,c-4,They hold up great !,,hold up great,,,positive,strong,,,,
48,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,,disappointed,shoes,,negative,average,,,,
49,c-7,I use them for musical theatre productions and they holdup well .,,,,,,,,,,
50,c-8,"She said they are so comfortable , and they are perfect .",they,comfortable,shoes,comfort,positive,average,,she,,
51,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,,,negative,strong,,,,
52,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,comfortable,shoes,comfort,positive,strong,,author,,
53,c-12,I bought 2 other pairs for other cast members !,,,,,,,,,,
54,c-13,Comfortable and attractive .,,comfortable and attractive,,,positive,average,,,,
55,c-15,Everything else about these tights is amazing .,,amazing,,,positive,strong,,,,
56,c-16,These shoes are great .,shoes,great,shoes,general,positive,strong,,,,
57,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",the seams,coming apart,the crotch,quality,negative,weak,,author,,
58,c-18,They are nice and exactly what I expected .,,nice,,,positive,average,,,,
59,c-19,"My husband loves his boots , excellent quality .",boots,loves,boots,,positive,strong,,my husband,,
60,c-20,Very small fit .,,Very small,,,,,,,,
61,c-25,Follow the capezio size chart and you 're in the clear .,,in the clear,,,positive,average,,,,
62,c-21,The soles are soft too .,soles,soft,shoes,comfort,positive,average,,author,,
63,c-24,Order 1 size larger than needed .,size,larger than needed,order,,negative,,,,,
64,l-1,Great for Programming and for low end gaming,,Great,,,positive,strong,,,,
65,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,,design,design_quality,negative,strong,,,,
66,l-3,Images are too dark and blurry .,images,too dark and blurry,images,visual_quality,negative,strong,,author,,
67,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth it,,,positive,strong,,,,
68,l-6,I 'm a mac user and I would love to get this laptop .,,love to get this laptop,laptop,,positive,strong,,author,,
69,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy,keyboard,tactile_feedback,negative,strong,,author,,
70,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,,,,positive,average,,,,
71,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,product,quality,positive,strong,,author,,
