id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,writing_quality,positive,strong,I,author,,
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,book,plot,negative,average,,other reviews,without keeping this in mind,this book sets up Magician's End
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,,religion,theme,neutral,average,,author,mix,
,,sexual abuse,,issue,theme,negative,strong,,author,mix,
,,courageous exit,courageous,action,outcome,positive,strong,,author,,
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,preference,negative,weak,you,reader,if you're into Diana books,after you've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through at points,storyline,narrative,negative,average,I,author,really,
,,character 's journey,ultimately satisfying,storyline,narrative,positive,strong,I,author,,
b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,OMG,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,book series,completion,positive,average,,author,finally,
,,magical world,some escape,book series,content,positive,weak,,author,,
,,read,not as much fun,book series,enjoyment,negative,average,,author,as I had hoped,
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,not being at all didactic in the patronizing sense,book,style,positive,average,,author,,
,,,teaches the reader a great deal,book,educational_value,positive,strong,,author,,about cancer the disease and its treatment
b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,suggest,book,general,positive,average,I,author,"if you want more details about the man in general , his family , his struggles over the years",
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,not as simple as one might think,treatments,effectiveness,negative,average,,author,whether various treatments were actually extending the lifespans of those afflicted,
,,book,dreadfully boring,book,general,negative,strong,,author,While the above discussion of science and statistics might make this book seem,
