id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,quality,positive,strong,I,author,,
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,book,plot,negative,average,,other reviews,without keeping this in mind,this book sets up Magician's End
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,,religion,theme,neutral,average,,author,mixed with sexual abuse,
,,sexual abuse,,issue,theme,negative,strong,,author,mixed with Christian beliefs,
,,courageous exit,courageous,action,outcome,positive,strong,,author,,
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep last,book,preference,negative,weak,you,reader,if you're into Diana books,after you've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through at points,storyline,narrative,negative,average,I,author,,
,,character 's journey,ultimately satisfying,storyline,narrative,positive,strong,I,author,,
b-7,OMG this book had my head spinning .,book,OMG this book had my head spinning,book,general,positive,strong,,author,,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good to finish,content,completion,positive,average,,author,,
,,magical world,some escape,content,immersion,positive,weak,,author,,
,,read,not as much fun,content,enjoyment,negative,average,I,author,as I had hoped,
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,while not being at all didactic in the patronizing sense,about cancer the disease and its treatment
b-12,Highly recommend this book .,book,highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,suggest,book,general,positive,weak,I,author,"if you want more details about the man in general , his family , his struggles over the years",
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",book,dreadfully boring,content,engagement,negative,strong,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
,,book,isn't the case,content,engagement,positive,weak,,author,,While the above discussion of science and statistics might make this book seem dreadfully boring
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,plot_development,positive,strong,,author,,
,,minor plot thread,lackluster,story,plot_development,negative,average,,author,,
,,level of significance,worthy,story,plot_development,positive,strong,,author,Midkemia 's final chapter,
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,quality,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,book,loved,book,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad,system,social_issues,negative,strong,,author,just how easy it is for these abused children to get lost,
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,quality,negative,strong,we,author,,
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,not that there is no humour,book,content,neutral,average,,author,,
,,ironic touch,ability to bring an ironic touch,author,writing_style,positive,average,,author,to the darkest scenes,
,,crime novel,not for the faint hearted,book,genre,negative,strong,,author,,
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,people,character,positive,strong,,author,,
,,3 lady 's courage,a lesson to us all,people,character,positive,strong,,author,,
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,information_quality,positive,average,an avid Diana fan,reader,,
,,certain facts,should not have been revealed,content,information_disclosure,negative,strong,an avid Diana fan,reader,,
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content_quality,positive,strong,I,author,,
,,book,exceptional,book,general,positive,strong,I,author,,
,,treatment,comprehensive and detailed,book,content_quality,positive,strong,I,author,for the non-expert,
,,narrative,compelling and often moving,book,content_quality,positive,strong,I,author,,
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,location,positive,strong,,author,,
,,rooftop,beyond spectacular,place,facility,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom connected to the room,great addition,accommodation,amenities,positive,strong,,author,,
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,average,,author,,
,,,will definitely consider to come again,location,general,positive,strong,,author,,
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,location,accessibility,positive,average,,author,a 15 min walk away,with a few groceries for breakfasts and snacks
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,
,,apartment,nicely furnished,apartment,furnishings,positive,average,,author,,
h-6,Really great location close to so many restaurants .,location,really great,place,proximity,positive,strong,,author,,close to so many restaurants
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,person,service,positive,strong,,author,,"very responsive by text and email , and thoughtful with her preparation of the apartment"
,,apartment,spotless and nicely decorated,accommodation,condition,positive,strong,,author,,
,,apartment,feels like home,accommodation,comfort,positive,strong,,author,,
h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
,,location,fantastic,property,location,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect,accommodation,location,positive,strong,,author,if you 're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,locations,one of the best,place,general,positive,strong,,author,you could stay at in Boston,
h-11,Everything was super clean .,everything,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,accessibility,positive,average,,author,,
h-14,Great location close to the Commons .,location,great,place,proximity,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,people,hospitality,positive,strong,my,guest,the second I entered the home,"helping me carry my items upstairs, explaining where everything was and offering me breakfast and coffee in the morning"
h-17,This location does not have a kitchen and you must share a bathroom .,location,does not have a kitchen,accommodation,amenities,negative,strong,,author,,
,,bathroom,must share,accommodation,amenities,negative,strong,,author,,
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,hit,venue,feature,positive,strong,,author,,allowed for 360 degree views
,,360 degree views,perfect,view,experience,positive,strong,,author,for the 70-80 degree weather we were enjoying,
h-20,I highly recommend it !,,highly recommend,item,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,excellent,place,accessibility,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,best,place,location,positive,strong,,author,in Boston,
h-28,Great attention to detail and very good communication,attention to detail,great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,average,,author,,
c-1,I enjoy dancing with these shoes on my feet .,shoes,enjoy,footwear,comfort,positive,strong,I,author,,dancing with these shoes on my feet
c-2,Super crinoline for the price !,price,super,crinoline,value_for_money,positive,strong,,author,,
