id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,quality,positive,strong,I,author,,
b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like,book,general,positive,strong,I,author,,
,,ending,not be particularly satisfied,book,plot,negative,average,,other reviews,without keeping this in mind,this book sets up Magician's End
b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs,,religion,theme,neutral,average,,author,,
,,sexual abuse,,issue,theme,negative,strong,,author,,
,,courageous exit,,action,outcome,positive,strong,,author,,
b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,you,reader,if you 're into Diana books,after you 've read the rest
b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough,storyline,narrative_difficulty,negative,strong,I,author,at points,
,,character 's journey,ultimately satisfying,storyline,narrative_outcome,positive,strong,I,author,,
b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,OMG,
b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,content,completion,positive,weak,,author,,to finish the series finally
,,magical world,escape,content,immersion,positive,weak,,author,some,
,,reading experience,not as much fun,content,enjoyment,negative,average,I,author,as I had hoped,
b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,not being at all didactic in the patronizing sense,book,style,positive,strong,,author,,
,,,teaches the reader a great deal,book,educational_value,positive,strong,,author,,about cancer the disease and its treatment
b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .","details about the man in general, his family, his struggles over the years",suggest,book,content,positive,weak,I,author,if you want more,
b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,not as simple as one might think,medical treatments,effectiveness,negative,average,,author,,whether various treatments were actually extending the lifespans of those afflicted
,,book,not dreadfully boring,book,general,positive,strong,,author,While the above discussion of science and statistics might make this book seem,
b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot,development,positive,strong,,author,,
,,minor plot thread,elevating,plot,significance,positive,strong,,author,,
b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,quality,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad,system,social_services,negative,strong,,author,just how easy it is for these abused children to get lost,
b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,quality,negative,strong,,author,,
b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,style,positive,average,,author,,the author has the ability to bring an ironic touch to the darkest scenes
,,crime novel,not for the faint hearted,book,general,negative,strong,,author,,
b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 lady,character,positive,strong,,author,a lesson to us all,
b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,general,positive,average,an avid Diana fan,reader,,
,,certain facts,should not have been revealed,content,privacy,negative,strong,,author,,
b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,compelling,book,content_quality,positive,strong,I,author,,
,,Mukherjee's storytelling,how well he tells it,author,writing_style,positive,strong,I,author,,
,,book,exceptional,book,general,positive,strong,I,author,,
,,treatment for the non-expert,comprehensive and detailed,book,content_quality,positive,strong,I,author,,
,,explanation of the science and politics,with clarity,book,content_clarity,positive,strong,I,author,,
h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,accommodation,comfort,positive,strong,,author,,
,,bathroom connected to the room,great addition,facility,amenities,positive,strong,,author,,
h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,average,,author,,
,,,definitely consider to come again,experience,general,positive,strong,,author,,
h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk,location,accessibility,positive,average,,author,with a few groceries for breakfasts and snacks,
h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,
,,apartment,nicely furnished,apartment,furnishing,positive,average,,author,,
h-6,Really great location close to so many restaurants .,location,really great,place,proximity,positive,strong,,author,close to so many restaurants,
h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,service,positive,strong,,author,,
,,responsiveness,very responsive,communication,service,positive,strong,,author,by text and email,
,,preparation of the apartment,thoughtful,preparation,service,positive,strong,,author,,
,,apartment,spotless and nicely decorated,apartment,condition,positive,strong,,author,,
,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
,,location,fantastic,area,general,positive,strong,,author,,
h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect,accommodation,location,positive,strong,,author,if you 're staying in Boston,
h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,accommodation,location,positive,strong,,author,by far,
h-11,Everything was super clean .,everything,super clean,environment,cleanliness,positive,strong,,author,,
h-13,Entry was simple and easy .,entry,simple and easy,process,usability,positive,strong,,author,,
h-14,Great location close to the Commons .,location,great,place,proximity,positive,strong,,author,close to the Commons,
h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",welcome,feel welcome,hospitality,service,positive,strong,my hosts,hosts,the second I entered the home,
,,assistance,helping,service,service,positive,strong,my hosts,hosts,,carry my items upstairs
,,guidance,explaining,service,service,positive,strong,my hosts,hosts,,where everything was
,,breakfast and coffee,offering,service,service,positive,strong,my hosts,hosts,in the morning,
h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,does not have,facility,amenities,negative,strong,,author,,
,,bathroom,must share,facility,amenities,negative,strong,,author,,
h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,hit,venue,general,positive,strong,,author,,
,,360 degree views,perfect,view,experience,positive,strong,,author,for the 70-80 degree weather we were enjoying,
h-20,I highly recommend it !,,highly recommend,it,general,positive,strong,I,author,,
h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,for exploring Boston,
h-21,Best location in Boston .,location,best,location,general,positive,strong,,author,,
h-28,Great attention to detail and very good communication,attention to detail,great,service,quality,positive,strong,,author,,
,,communication,very good,service,quality,positive,strong,,author,,
c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,activity,experience,positive,strong,I,author,with these shoes on my feet,
c-2,Super crinoline for the price !,crinoline,super,product,value_for_money,positive,strong,,author,for the price,
c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,feature,design,positive,weak,,author,,you can wear them as leggings
c-4,They hold up great !,,hold up great,unspecified,durability,positive,strong,they,unspecified,,
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,material,disappointed,LifeStride shoes,quality,negative,strong,I,author,,they were not leather
,,origin,disappointed,LifeStride shoes,manufacturing,negative,strong,I,author,,they were made in China
c-7,I use them for musical theatre productions and they holdup well .,,holdup well,them (referring to unspecified items used for musical theatre productions),durability,positive,average,I,author,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,they,comfort,positive,strong,she,speaker,,
,,,perfect,they,general,positive,strong,she,speaker,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",slot over the abdomen,could not wear,clothing,fit,negative,strong,I,author,very carefully this morning,
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,
,,shoes,stylish,footwear,appearance,positive,average,,author,,
c-12,I bought 2 other pairs for other cast members !,,,purchase,general,positive,average,I,author,,for other cast members
c-13,Comfortable and attractive .,,comfortable,product,design,positive,average,,author,,
,,,attractive,product,design,positive,average,,author,,
c-15,Everything else about these tights is amazing .,everything else,amazing,tights,general,positive,strong,,author,,
c-16,These shoes are great .,shoes,great,footwear,general,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,strong,,author,,
,,seams,coming apart,clothing,durability,negative,strong,I,author,,
c-18,They are nice and exactly what I expected .,,nice,product,general,positive,average,,author,,
,,,exactly what I expected,product,general,positive,strong,,author,,
c-19,"My husband loves his boots , excellent quality .",boots,loves,product,general,positive,strong,my husband,individual,,
,,quality,excellent,product,quality,positive,strong,,author,,
c-20,Very small fit .,fit,very small,size,physical_characteristics,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guide,usability,positive,strong,,author,,follow the capezio size chart
c-21,The soles are soft too .,soles,soft,soles,material_quality,positive,weak,,author,too,
c-24,Order 1 size larger than needed .,size,,product,sizing,neutral,average,,author,,order 1 size larger than needed
l-1,Great for Programming and for low end gaming,programming,great,activity,usability,positive,strong,,author,,
,,low end gaming,great,activity,usability,positive,strong,,author,,
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken,display,durability,negative,strong,,author,,when the magsafe plug is caught inside the computer upon closing
,,design flows,breaking,monitor,durability,negative,strong,,author,,when the magsafe plug is caught inside the computer upon closing
l-3,Images are too dark and blurry .,images,too dark,images,visual_quality,negative,strong,,author,,
,,images,blurry,images,visual_quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value_for_money,positive,strong,I,author,mainly to do android app development,
l-6,I 'm a mac user and I would love to get this laptop .,,would love,laptop,general,positive,strong,I,author,,
l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,all mushy no tactile feedback,keyboard,operational_performance,negative,strong,,author,,
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,value,cost,positive,strong,,author,especially having an 8th gen Intel processor,
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,build quality,design,positive,strong,,author,,solid construction
,,keyboard,"comfortable , well-sized",keyboard,design,positive,strong,,author,,
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,for discord/google hangouts/etc,
,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,operational_performance,negative,strong,,author,,performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
l-15,It took a few weeks for them to send it back .,,took a few weeks,service,timeliness,negative,average,,author,,
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,effectiveness,negative,strong,I,author,,gone through all the troubleshooting steps and still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,device,operational_performance,positive,average,,author,even without a SSD,
l-19,I really liked the laptop for its sleekness and weight .,sleekness,really liked,laptop,design,positive,strong,I,author,,its sleekness and weight
,,weight,really liked,laptop,portability,positive,strong,I,author,,its sleekness and weight
l-24,Delivery - very fast by courier .,delivery,very fast,service,speed,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,product,general,positive,strong,,author,,
,,screen,not the best but its good for the price,display,value_for_money,positive,average,,author,,
,,gaming laptop,works with every game i trow at it,performance,operational_performance,positive,strong,,author,cheap,
l-26,"Laptop was new , in perfect condition and works like a charm .",condition,perfect,laptop,physical_condition,positive,strong,,author,,
,,performance,works like a charm,laptop,operational_performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,battery,operational_performance,negative,average,I,author,,it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
l-21,Feel really disappointed as was so happy with previous model .,,really disappointed,current model,general,negative,strong,,author,,was so happy with previous model
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",waiting time,incredibly long,service,service_time,negative,strong,we,customer,,
r-2,I come here because you leave full and with money still in your pockets .,,leave full,experience,value_for_money,positive,strong,I,author,,
,,,with money still in your pockets,cost,value_for_money,positive,strong,I,author,,
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
,,service,makes things bad,service,customer_service,negative,strong,I,author,,
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",pho,makes me wanting,dish,taste,positive,strong,I,author,every time I come,
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,my,author,one of,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,oils and fresh bread,big miss,food,quality,negative,strong,,author,,Other establishments on the North End spoil you with tasty oils and fresh bread
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,venue,ambiance,positive,strong,,author,,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating
r-9,This will probably be the last time we will come here .,,last time,place,general,negative,strong,,author,probably,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,,behavior,conduct,negative,strong,,author,idiots,
,,credit cards,bummer,payment method,service,negative,weak,,author,no,
,,ATM,,facility,service,positive,weak,,author,do have,
