,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,plot,negative,average,other reviews,author,without keeping this in mind,sets up Magician's End
3,,,sets up Magician's End,,book,plot,neutral,weak,,author,,
4,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",A mix of the Christian beliefs mixed with sexual abuse,,book,general,negative,strong,,author,,
5,,,courageous exit,courageous,book,general,positive,strong,,author,,
6,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep,book,general,positive,weak,i,author,if you're into diana books,after you've read the rest
7,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,plot,negative,average,i,author,at points,
8,,,character's journey,ultimately satifying,story,plot,positive,average,i,author,,
9,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,,
10,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,i,author,finally,
11,,,escape into the magical world,some,content,genre,positive,weak,i,author,,
12,,,fun to read,not as much,book,entertainment,negative,average,i,author,as I had hoped,
13,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches the reader a great deal,book,general,positive,strong,,author,not being at all didactic in the patronizing sense,
14,,,,not being at all didactic in the patronizing sense,book,general,positive,weak,,author,,
15,,,cancer the disease and its treatment,,content,topic,neutral,,,author,,
16,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
17,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",roasting in hell's kitchen,suggest,book,general,positive,weak,i,author,"if you want more details about the man in general, his family, his struggles over the years",
18,,,,however,book,general,neutral,weak,,author,,
19,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,,treatment,effectiveness,neutral,weak,,author,,
20,,,discussion of science and statistics,dreadfully boring,content,general,negative,strong,,author,,
21,,,this book,,book,general,positive,weak,,author,,
22,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,general,positive,strong,,author,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter,
23,,,lackluster minor plot thread,lackluster,story,general,negative,average,,author,,
24,,,Midkemia's final chapter,,book,general,positive,strong,,author,,
25,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,style,negative,strong,,author,"unsophisticated, almost juvenile in comparison to earlier volumes",
26,,,unsophisticated,unsophisticated,content,style,negative,strong,,author,,
27,,,almost juvenile,almost juvenile,content,style,negative,strong,,author,,
28,,,earlier volumes,disapointing,content,style,positive,strong,,author,,
29,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
30,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad,,general,negative,strong,,author,,
31,,,get lost in the welfare system,,welfare system,operational_performance,negative,strong,,author,,
32,,,abused children,,children,general,negative,strong,,author,,
33,,,easy,easy,,general,negative,strong,,author,,
34,,,,,,general,negative,strong,,author,,
