,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,general,positive,strong,i,author,,
1,,,,can't imagine a better,book,general,positive,strong,i,author,,
2,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like,book,general,positive,strong,i,author,,
3,,,ending,not be particularly satisfied,book,general,negative,average,other reviews,author,,
4,,,ending,not be particularly satisfied,book,general,negative,average,i,author,,
5,,,book,sets up Magician's End,book,general,neutral,weak,,author,,
6,,,book,sets up Magician's End,book,general,neutral,weak,,author,,
7,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",A mix of the Christian beliefs mixed with sexual abuse,,content,theme,negative,strong,,author,,
8,,,courageous exit,courageous,content,theme,positive,strong,,author,,
9,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,this one,keep this one last,book,general,negative,average,i,author,if you're into diana books,
10,,,diana books,,book,genre,positive,strong,i,author,,
11,,,the rest,,book,general,neutral,weak,i,author,,
12,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough,story,plot,negative,average,i,author,at points,
13,,,character's journey,ultimately satifying,story,plot,positive,average,i,author,,
14,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,,
15,,,,OMG,book,general,positive,strong,,author,,
16,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
17,,,escape into the magical world,some,book,general,positive,weak,,author,,
18,,,fun to read,not as much,book,general,negative,average,,author,,
19,,,fun to read,had hoped,book,general,positive,average,,author,,
20,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches the reader a great deal,book,general,positive,strong,,author,not being at all didactic in the patronizing sense,
21,,,,not being at all didactic in the patronizing sense,book,general,positive,strong,,author,,
22,,,,teaches the reader a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
23,,,,teaches the reader a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
24,,,,teaches the reader a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
25,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
26,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",roasting in hell's kitchen,suggest,book,general,positive,average,i,author,"if you want more details about the man in general, his family, his struggles over the years",
27,,,,however,book,general,neutral,weak,,author,,
28,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,,treatment,effectiveness,neutral,weak,,author,,which was also not as simple as one might think
29,,,the above discussion of science and statistics,dreadfully boring,content,general,negative,strong,,author,,this isn't the case
30,,,this book,,book,general,positive,weak,,author,,this isn't the case
31,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,general,positive,strong,,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter
32,,,lackluster minor plot thread,lackluster,story,general,negative,average,,author,,
33,,,Midkemia's final chapter,,story,general,positive,strong,,author,,
34,,,level of significance,worthy,story,general,positive,strong,,author,,
35,,,elevating,elevating,story,general,positive,strong,,author,,
36,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,style,negative,strong,,author,,"unsophisticated, almost juvenile in comparison to earlier volumes"
37,,,unsophisticated,unsophisticated,content,style,negative,strong,,author,,
38,,,almost juvenile,almost juvenile,content,style,negative,strong,,author,,
39,,,earlier volumes,,content,style,positive,strong,,author,,
40,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
