,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,plot,negative,average,other reviews,other reviewers,without keeping this in mind,this book sets up Magician's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,courageous,exit,general,positive,strong,,author,,
4,,,,mixed with sexual abuse,Christian beliefs,general,negative,strong,,author,,
5,,,,mix,Christian beliefs,general,neutral,weak,,author,,
6,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,positive,weak,,author,if you're into Diana books,
7,,,,read the rest,book,general,positive,weak,,author,,
8,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,plot,negative,strong,i,author,at points,
9,,,character's journey,ultimately satifying,story,plot,positive,strong,i,author,,
10,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,,
11,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,i,author,finally,
12,,,escape into the magical world,some,book,general,positive,weak,i,author,,
13,,,fun to read,not as much,book,general,negative,average,i,author,as i had hoped,
14,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches the reader a great deal,book,general,positive,strong,,author,,
15,,,not being at all didactic in the patronizing sense,not being at all didactic in the patronizing sense,book,general,positive,strong,,author,,
16,,,teaches the reader a great deal about cancer the disease and its treatment,teaches the reader a great deal,book,general,positive,strong,,author,,
17,,,teaches the reader a great deal about cancer the disease and its treatment,teaches the reader a great deal,book,general,positive,strong,,author,,
18,,,teaches the reader a great deal about cancer the disease and its treatment,teaches the reader a great deal,book,general,positive,strong,,author,,
19,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
