,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,book,content,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,plot,negative,average,,author,without keeping this in mind,sets up Magician's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs,,content,theme,neutral,,,author,,
4,,,sexual abuse,,content,theme,negative,strong,,author,,
5,,,courageous exit,courageous,content,theme,positive,strong,,author,,
6,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,,book,general,positive,strong,,author,if you're into diana books,
7,,,this one,keep this one last,book,general,positive,strong,,author,after you've read the rest,
8,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough,story,plot,negative,strong,i,author,at points,
9,,,character's journey,ultimately satifying,story,plot,positive,strong,i,author,,
10,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,,
11,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,series,general,positive,weak,,author,finally,
12,,,escape into the magical world,some,world,general,positive,weak,,author,,
13,,,fun to read,not as much,book,entertainment,negative,weak,,author,as I had hoped,
14,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal,book,educational_value,positive,strong,,author,not being at all didactic in the patronizing sense,teaches the reader a great deal about cancer the disease and its treatment
15,,,book,not being at all didactic in the patronizing sense,book,tone,positive,weak,,author,,
16,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
17,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",roasting in hell's kitchen,suggest,book,general,positive,average,i,author,"if you want more details about the man in general, his family, his struggles over the years",
18,,,roasting in hell's kitchen,,book,content,positive,average,,author,,
19,,,roasting in hell's kitchen,,book,content,positive,average,,author,,
20,,,roasting in hell's kitchen,,book,content,positive,average,,author,,
21,,,roasting in hell's kitchen,,book,content,positive,average,,author,,
22,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,,treatment,effectiveness,neutral,weak,,author,,whether various treatments were actually extending the lifespans of those afflicted
23,,,discussion of science and statistics,dreadfully boring,content,engagement,negative,strong,,author,,this isn't the case
24,,,book,,book,general,positive,strong,,author,,this isn't the case
25,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,plot,positive,strong,,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter
26,,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter,elevating,story,plot,positive,strong,,author,,
27,,,lackluster minor plot thread,lackluster,story,plot,negative,weak,,author,,
28,,,level of significance worthy of Midkemia's final chapter,worthy,story,plot,positive,strong,,author,,
29,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,style,negative,strong,,author,"unsophisticated, almost juvenile in comparison to earlier volumes",
30,,,writing,unsophisticated,content,style,negative,strong,,author,,in comparison to earlier volumes
31,,,writing,almost juvenile,content,style,negative,strong,,author,,in comparison to earlier volumes
32,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
33,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad,,,negative,strong,,author,,
34,,,welfare system,,system,general,negative,strong,,author,,
35,,,abused children,,children,general,negative,strong,,author,,
36,,,get lost,,children,general,negative,strong,,author,,
37,,,easy,,process,general,negative,strong,,author,,
38,,,tale,sad,story,general,negative,strong,,author,,
39,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book,general,negative,strong,,author,,
40,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,author's ability to bring an ironic touch to the darkest scenes,has the ability to bring an ironic touch to the darkest scenes,author,writing_style,positive,strong,,author,,
41,,,this is not a crime novel for the faint hearted,this is not a crime novel for the faint hearted,book,genre,negative,strong,,author,,
42,,,humour,Not that there is no humour,book,entertainment,negative,weak,,author,,
43,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady's courage,inspirational,,,positive,strong,,author,,a lesson to us all
44,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book,content,positive,average,an avid diana fan,author,,
45,,,certain facts,should not have been revealed,book,content,negative,strong,an avid diana fan,author,,
46,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content,positive,strong,i,author,,
47,,,book,exceptional,book,general,positive,strong,,author,,
48,,,treatment,comprehensive and detailed,book,content,positive,strong,,author,for the non-expert,"manages to explain the science ( and some of the politics ) with clarity, while providing a compelling and often moving narrative"
49,,,narrative,compelling and often moving,book,content,positive,strong,,author,,
50,,,science,,book,content,positive,strong,,author,,"manages to explain the science ( and some of the politics ) with clarity, while providing a compelling and often moving narrative"
51,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
52,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
53,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
54,,,bathroom,great addition,bathroom,amenities,positive,strong,,author,,
55,h-3,It 's a good place and will definitely consider to come again .,,good place,location,general,positive,average,,author,,
56,,,,will definitely consider to come again,location,general,positive,strong,,author,,
57,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,store,location,positive,weak,,author,,a 15 min walk away
58,,,walk,easy,location,accessibility,positive,weak,,author,,a 15 min walk away
59,,,groceries,,product,general,neutral,,,author,,
60,,,breakfasts and snacks,,product,general,neutral,,,author,,
61,h-5,"The apartment is kept very clean , and nicely furnished .",cleanliness,very clean,apartment,cleanliness,positive,strong,,author,,
62,,,furnishing,nicely furnished,apartment,furnishing,positive,average,,author,,
63,h-6,Really great location close to so many restaurants .,location,really great,location,general,positive,strong,,author,close to so many restaurants,
64,,,restaurants,so many,restaurants,general,positive,strong,,author,,
65,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,general,positive,strong,,author,very responsive by text and email,
66,,,preparation of the apartment,thoughtful,apartment,general,positive,average,,author,,
67,,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,author,,
68,,,apartment,feels like home,apartment,general,positive,strong,,author,,
69,h-8,Excellent space in a fantastic location .,space,excellent,location,general,positive,strong,,author,,
70,,,location,fantastic,location,general,positive,strong,,author,,
