,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,operational_performance,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like it,book,general,positive,strong,I,author,,
2,,,ending,,ending,operational_performance,negative,weak,,author,,"Be forewarned ( as other reviews have noted ), this book sets up Magician's End and you will not be particularly satisfied with the ending without keeping this in mind."
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs,,religion,general,,,,author,,
4,,,sexual abuse,,abuse,general,,,,author,,
5,,,courageous exit,courageous,action,operational_performance,positive,strong,,author,,
6,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,,book,general,positive,strong,,author,,
7,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,narrative_structure,negative,weak,I,author,at points,
8,,,character's journey,satifying,story,narrative_structure,positive,strong,I,author,ultimately,
9,b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,positive,strong,,author,,
10,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",series,good,series,operational_performance,positive,weak,,author,,
11,,,magical world,some escape,magical world,operational_performance,positive,weak,,author,,
12,,,series,not as much fun to read as I had hoped,series,operational_performance,negative,strong,,author,,
13,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches,book,educational_content,positive,strong,,author,not being at all didactic in the patronizing sense,
14,,,cancer the disease,,cancer the disease,general,neutral,,,author,,
15,,,its treatment,,its treatment,general,neutral,,,author,,
16,,,book,must read,book,general,positive,strong,,author,"anyone with an interest in cancer, professional or personal",
17,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
18,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",man in general,I would suggest,book,general,positive,strong,I,author,,
19,,,family,,man,general,positive,average,I,author,,
20,,,struggles over the years,,man,general,positive,average,I,author,,
21,,,book,I would suggest,book,general,positive,strong,I,author,,
22,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",treatments,not as simple as one might think,treatment,effectiveness,neutral,average,,author,,
23,,,book,dreadfully boring,book,general,negative,strong,,author,,
24,,,book,,book,general,positive,strong,,author,,
25,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,plot thread,operational_performance,positive,strong,we,author,,
26,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,literary_quality,negative,strong,,author,"unsophisticated, almost juvenile in comparison to earlier volumes",
27,b-17,Loved the book .,book,loved,book,general,positive,strong,,author,,
28,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad,welfare system,operational_performance,negative,strong,,author,,
29,,,welfare system,sad,welfare system,operational_performance,negative,strong,,author,,N/A.
30,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book,general,negative,strong,we,author,,
31,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,general,neutral,,,author,,
32,,,ability to bring an ironic touch,,author,general,positive,weak,,author,,
33,,,crime novel,,book,genre,negative,strong,,author,,
34,,,faint hearted,,reader,general,negative,strong,,author,,
35,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,lady's courage,personal_characteristic,positive,strong,,author,,
36,,,lesson,a lesson,lesson,personal_characteristic,positive,weak,,author,,
37,,,us all,,us all,general,positive,strong,,author,,
38,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,book,content,positive,weak,an avid diana fan,fan,however,
39,,,certain facts,should not have been revealed,book,content,negative,strong,an avid diana fan,fan,however,
40,,,movie,great success,movie,operational_performance,positive,strong,,author,,
41,,,sequel,disaster,movie,operational_performance,negative,strong,,author,,
42,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,compelling,book,operational_performance,positive,strong,I,author,,
43,,,Mukherjee sets out,sets out,book,operational_performance,positive,strong,I,author,,
44,,,science,explain the science,book,operational_performance,positive,strong,I,author,,
45,,,politics,provide a compelling and often moving narrative,book,operational_performance,positive,strong,I,author,,
46,,,book,exceptional,book,general,positive,strong,"numerous, good reviews",reviewer,,
47,,,book,comprehensive and detailed treatment,book,operational_performance,positive,strong,I,author,,
48,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
49,,,rooftop,beyond spectacular,rooftop,operational_performance,positive,strong,,author,,
50,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,operational_performance,positive,strong,,author,,
51,,,bathroom,great addition,bathroom,operational_performance,positive,strong,,author,,
52,h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,strong,,author,,
53,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,grocery store,accessibility,positive,weak,,author,,
54,,,grocery store,a 15 min walk away,grocery store,location,neutral,,,author,,
55,,,grocery store,a few groceries for breakfasts and snacks,grocery store,product variety,positive,weak,,author,,
56,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,author,,
57,,,apartment,nicely furnished,apartment,furnishing,positive,strong,,author,,
58,h-6,Really great location close to so many restaurants .,location,great,location,operational_performance,positive,strong,really,author,,
59,,,restaurants,,restaurants,operational_performance,positive,weak,,author,,
60,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,person,hospitality,positive,strong,oine,person,,
61,,,responsiveness,very responsive,person,communication,positive,strong,oine,person,,
62,,,preparation,thoughtful,person,hospitality,positive,average,oine,person,,
63,,,cleanliness,spotless,apartment,cleanliness,positive,strong,oine,person,,
64,,,decoration,nicely decorated,apartment,aesthetics,positive,average,oine,person,,
65,,,apartment,feels like home,apartment,comfort,positive,strong,oine,person,,
66,h-8,Excellent space in a fantastic location .,space,excellent,location,operational_performance,positive,strong,,author,,
67,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,,author,,
68,h-10,By far one of the best locations you could stay at in Boston .,location,best,hotel,operational_performance,positive,strong,you,guest,,
69,h-11,Everything was super clean .,everything,super clean,,general,positive,strong,,author,,
70,h-13,Entry was simple and easy .,entry,simple and easy,entry,operational_performance,positive,strong,,author,,
71,h-14,Great location close to the Commons .,location,great,location,operational_performance,positive,strong,,author,,
72,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",welcome,feel welcome,home,hospitality,positive,strong,my hosts,host,,
73,,,help,helping me carry my items upstairs,host,helpfulness,positive,strong,my hosts,host,,
74,,,breakfast and coffee,offering me breakfast and coffee in the morning,host,hospitality,positive,weak,my hosts,host,,
75,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,,location,operational_performance,negative,strong,,author,,
76,,,bathroom,must share,bathroom,operational_performance,negative,strong,,author,,
77,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,operational_performance,positive,strong,,author,70-80 degree weather,
78,h-20,I highly recommend it !,,highly recommend,,,positive,strong,I,author,,
79,,,,highly recommend,,,positive,strong,I,author,,
80,,,,highly recommend,,,positive,strong,I,author,,
81,h-24,Excellent location for exploring Boston .,location,excellent,location,operational_performance,positive,strong,,author,,
82,h-21,Best location in Boston .,location,best,location,general,positive,strong,,author,,
83,h-28,Great attention to detail and very good communication,attention to detail,great,,general,positive,strong,,author,,
84,,,communication,very good,,general,positive,strong,,author,,
85,c-2,Super crinoline for the price !,crinoline,super,product,quality,positive,strong,,author,,
86,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,product,operational_performance,positive,weak,you,author,,
87,c-4,They hold up great !,,great,,,positive,strong,they,author,,
88,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,always worn,shoes,material,negative,strong,I,author,,
89,,,LifeStride shoes,disappointed,shoes,origin,negative,strong,I,author,,
90,c-7,I use them for musical theatre productions and they holdup well .,musical theatre productions,holdup well,product,operational_performance,positive,strong,i,author,,
91,c-8,"She said they are so comfortable , and they are perfect .",comfort,so comfortable,shoes,operational_performance,positive,strong,she,person,,
92,,,perfection,perfect,shoes,operational_performance,positive,strong,she,person,,
93,,,camera,great,smartphone,operational_performance,positive,strong,,author,,
94,,,battery life,long,smartphone,operational_performance,positive,average,,author,,
95,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,operational_performance,negative,strong,,author,,
96,,,,will return,product,operational_performance,negative,strong,,author,,
97,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,comfortable,shoes,operational_performance,positive,strong,I,author,,
98,c-12,I bought 2 other pairs for other cast members !,,bought,,,positive,strong,i,author,,
99,c-13,Comfortable and attractive .,comfortable,comfortable,,general,positive,strong,,,,
100,,,attractive,attractive,,general,positive,strong,,,,
101,c-15,Everything else about these tights is amazing .,everything else,amazing,tights,operational_performance,positive,strong,,author,,
102,c-16,These shoes are great .,shoes,great,shoes,operational_performance,positive,strong,these shoes,author,,
103,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,clothing,aesthetic_appearance,positive,weak,I,author,,
104,,,seams,coming apart,clothing,operational_performance,negative,strong,I,author,,
105,c-18,They are nice and exactly what I expected .,,nice,,,positive,weak,they,author,,
106,c-19,"My husband loves his boots , excellent quality .",boots,loves,boots,operational_performance,positive,strong,my husband,person,,
107,c-20,Very small fit .,small fit,very small,product,operational_performance,negative,strong,,author,,
108,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,,product,operational_performance,positive,strong,,author,,
109,c-21,The soles are soft too .,soles,soft,shoes,operational_performance,positive,weak,,author,,
110,,,soles,soft,shoes,operational_performance,positive,weak,,author,,
111,,,soles,soft,shoes,operational_performance,positive,weak,,author,,
112,,,soles,soft,shoes,operational_performance,positive,weak,,author,,
113,c-24,Order 1 size larger than needed .,size,larger,clothing,operational_performance,positive,strong,,author,,
114,l-1,Great for Programming and for low end gaming,programming,great,,general,positive,strong,,author,,
115,,,low end gaming,great,,general,positive,average,,author,,
116,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",broken displays,broken,display,operational_performance,negative,strong,,author,,
117,,,magsafe plug,caught inside the computer upon closing,magsafe plug,operational_performance,negative,strong,,author,,
