,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
1,,,ending,,book,operational_performance,negative,strong,,author,,
2,,,book,,book,general,positive,weak,,author,,
3,,,ending,,book,operational_performance,negative,strong,,author,,
4,,,book,,book,general,positive,weak,,author,,
5,,,ending,,book,operational_performance,negative,strong,,author,,
6,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,courageous exit,,,positive,strong,,,,
7,,,,courageous exit,,,positive,strong,,,,
8,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,narrative,negative,strong,i,author,,
9,,,character's journey,satifying,story,narrative,positive,strong,i,author,,
10,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,,author,,
11,,,,had my head spinning,book,general,positive,strong,,author,,
12,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",,good,series,general,positive,weak,,author,,
13,,,escape into the magical world,,content,genre,positive,weak,,author,,
14,,,fun to read,not as much fun to read as I had hoped,book,operational_performance,negative,strong,,author,,
15,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,great deal,book,educational_value,positive,strong,,author,,
16,,,cancer the disease,,content,topic,neutral,,,author,,
17,,,its treatment,,content,topic,neutral,,,author,,
18,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",issue of whether various treatments were actually extending the lifespans of those afflicted,not as simple as one might think,medical treatment,effectiveness,neutral,average,,author,,
19,,,book,dreadfully boring,book,general,negative,strong,,author,,
20,,,book,,book,general,positive,strong,,author,,
21,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,plot,positive,strong,we,author,,
22,,,level of significance,worthy of Midkemia's final chapter,story,plot,positive,strong,,author,,
23,,,lackluster minor plot thread,elevating,story,plot,negative,weak,we,author,,
24,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,literary_quality,negative,strong,,author,"unsophisticated, almost juvenile in comparison to earlier volumes",
25,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,general,negative,strong,,author,,
26,,,ability to bring an ironic touch,,author,general,positive,average,,author,,
27,,,crime novel for the faint hearted,,book,general,negative,strong,,author,,
28,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,lady's courage,personal_characteristic,positive,strong,,author,,
29,,,lesson,lesson,lady's courage,personal_characteristic,positive,strong,,author,,
30,,,us all,,audience,general,positive,strong,,author,,
31,,,courage,inspirational,lady's courage,personal_characteristic,positive,strong,,author,,
32,,,lesson,lesson,lady's courage,personal_characteristic,positive,strong,,author,,
33,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,book,general,positive,weak,,author,for an avid diana fan,
34,,,certain facts,should not have been revealed,book,general,negative,strong,,author,however,
35,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,sets out,book,general,positive,strong,Mukherjee,author,,
36,,,Mukherjee sets out,sets out,book,general,positive,strong,Mukherjee,author,,
37,,,science,explain the science,book,operational_performance,positive,average,,author,,
38,,,politics,provide a compelling and often moving narrative,book,operational_performance,positive,average,,author,,
39,,,compelling narrative,compelling and often moving narrative,book,general,positive,strong,Mukherjee,author,,
40,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
41,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
42,,,bathroom,great addition,bathroom,convenience,positive,weak,,author,,
43,h-3,It 's a good place and will definitely consider to come again .,,good place,location,general,positive,strong,,author,,
44,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,easy to walk from,store,accessibility,positive,weak,,author,,
45,,,grocery store,,store,location,positive,weak,,author,,
46,,,grocery store,,store,operational_performance,positive,weak,,author,,
47,,,grocery store,,store,general,positive,weak,,author,,
48,,,grocery store,,store,general,positive,weak,,author,,
49,,,grocery store,,store,general,positive,weak,,author,,
50,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,very clean,apartment,cleanliness,positive,strong,,,,
51,,,apartment,nicely furnished,apartment,furnishing,positive,strong,,,,
52,h-6,Really great location close to so many restaurants .,location,great,location,accessibility,positive,strong,really,author,,
53,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",,terrific host,host,general,positive,strong,,author,"very responsive by text and email, and thoughtful with her preparation of the apartment",
54,,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,author,,
55,,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
56,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",,welcome,home,hospitality,positive,strong,my hosts,host,,
57,,,,helping me carry my items upstairs,host,helpfulness,positive,strong,my hosts,host,,
58,,,,explaining where everything was,host,helpfulness,positive,strong,my hosts,host,,
59,,,,offering me breakfast and coffee in the morning,host,hospitality,positive,strong,my hosts,host,,
60,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,,location,general,negative,strong,,author,,
61,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,view,positive,strong,,author,70-80 degree weather,
62,,,360 degree views,,view,view,positive,strong,,author,,
63,,,weather,,weather,weather,positive,weak,,author,70-80 degree,
64,h-28,Great attention to detail and very good communication,attention to detail,great,service,operational_performance,positive,strong,,author,,
65,,,communication,very good,service,operational_performance,positive,strong,,author,,
66,c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,shoes,operational_performance,positive,strong,i,author,,
67,,,new movie,enjoy,movie,general,positive,strong,i,author,,
68,,,movie,masterpiece,movie,general,positive,strong,i,author,,
69,c-2,Super crinoline for the price !,crinoline,super,product,quality,positive,strong,,author,for the price,
70,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,life stride shoes,,product,material,negative,strong,i,author,,
71,,,life stride shoes,,product,origin,negative,strong,i,author,,
72,c-8,"She said they are so comfortable , and they are perfect .",comfort,so comfortable,shoes,operational_performance,positive,strong,she,person,,
73,,,perfection,perfect,shoes,operational_performance,positive,strong,she,person,,
74,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,usability,negative,strong,,author,,
75,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",comfort,most comfortable,shoes,operational_performance,positive,strong,i,author,,
76,,,style,stylish,shoes,aesthetic_appearance,positive,strong,i,author,,
77,,,game changer,,product,general,positive,strong,i,author,,
78,,,customer service,top notch,customer service,operational_performance,positive,strong,i,author,,
79,c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,,author,,
80,,,,amazing,tights,general,positive,strong,,author,,N/A.
81,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,clothing,aesthetic,positive,weak,,author,,
82,,,seams,coming apart,clothing,durability,negative,strong,,author,,
83,c-18,They are nice and exactly what I expected .,,nice,,,positive,weak,i,author,exactly what I expected,
84,c-19,"My husband loves his boots , excellent quality .",boots,loves,boots,quality,positive,strong,my husband,person,,
85,c-21,The soles are soft too .,soles,soft,shoes,operational_performance,positive,weak,,author,too,
86,l-1,Great for Programming and for low end gaming,,great,,,positive,strong,,,,
87,,,,great,,,positive,strong,,,,
88,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",,broken,display,operational_performance,negative,strong,,author,,
89,,,magsafe plug,caught,magsafe plug,operational_performance,negative,strong,,author,,
90,,,computer,,computer,operational_performance,negative,strong,,author,,
91,,,monitor,breaking,monitor,operational_performance,negative,strong,,author,,
92,l-3,Images are too dark and blurry .,images,too dark and blurry,images,visual_quality,negative,strong,,author,,
93,,,product,great experience,product,overall_experience,positive,strong,I,author,,
94,,,customer service,top notch,customer service,customer_service_quality,positive,strong,,author,,
95,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",,,product,general,positive,strong,,author,,
96,,,price,,product,operational_performance,positive,strong,,author,,
97,,,8th gen Intel processor,,processor,operational_performance,positive,strong,,author,,
98,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",keyboard,well-sized,keyboard,operational_performance,positive,strong,,author,,
99,,,keyboard,comfortable,keyboard,operational_performance,positive,strong,,author,,
100,,,construction,solid,product,operational_performance,positive,strong,,author,,
101,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,,
102,,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,,
103,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",,do not purchase,computer,general,negative,strong,,author,,performs worse than the $ 200 computer I used while waiting on the'replacement'computer I got when the other one crashed
104,,,computer,performs worse,computer,operational_performance,negative,strong,,author,,
105,,,computer,$ 200 computer,computer,operational_performance,positive,weak,,author,,
106,l-15,It took a few weeks for them to send it back .,,,,,,,,,,
107,l-17,I have gone through all the troubleshooting steps and still nothing .,,nothing,product,operational_performance,negative,strong,i,author,all the troubleshooting steps,
108,l-19,I really liked the laptop for its sleekness and weight .,sleekness,really liked,laptop,design,positive,strong,i,author,,
109,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
110,,,screen,not the best,screen,operational_performance,negative,weak,,author,,
111,,,price,good,price,general,positive,weak,,author,,
112,,,gaming laptop,cheap,laptop,general,positive,weak,,author,,
113,,,every game,works with,laptop,operational_performance,positive,strong,,author,,
