,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,better-written treatment of the subject,,content,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like it,content,general,positive,strong,i,author,,
2,,,ending,,content,general,negative,strong,,author,other reviews have noted,"Be forewarned ( as other reviews have noted ), this book sets up Magician's End and you will not be particularly satisfied with the ending without keeping this in mind. "
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs mixed with sexual abuse,,content,general,negative,strong,,author,,
4,,,courageous exit,,action,general,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,,content,genre,positive,strong,,author,,
6,,,reading the rest,,content,general,positive,average,,author,,
7,,,this one,,content,general,positive,weak,,author,,
8,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character's journey,tough one to plod through,story,narrative,negative,strong,,author,,
9,,,character's journey,satifying,story,narrative,positive,strong,,author,,
10,b-7,OMG this book had my head spinning .,book,had my head spinning,content,general,positive,strong,,author,,
11,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,series,completion,positive,weak,,author,,
12,,,escape into the magical world,some,content,escapism,positive,weak,,author,,
13,,,read as I had hoped,not as much fun,content,enjoyment,negative,weak,,author,,
14,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,great deal,content,educational_value,positive,strong,,author,,
15,,,cancer the disease,,topic,general,neutral,,,author,,
16,,,its treatment,,topic,general,neutral,,,author,,
17,b-12,Highly recommend this book .,,recommend,book,general,positive,strong,,author,,
18,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",man in general,,person,general,neutral,,,author,,
19,,,family,,family,general,neutral,,,author,,
20,,,struggles over the years,,person,general,neutral,,,author,,
21,,,Roasting in Hell's Kitchen,,book,general,positive,strong,,author,,
22,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",issue of whether various treatments were actually extending the lifespans of those afflicted,not as simple as one might think,medical treatment,general,neutral,average,,author,,
23,,,book,dreadfully boring,content,genre,negative,strong,,author,,
24,,,book,,content,general,positive,strong,,author,,
25,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,really expanded upon,story,narrative,positive,strong,,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia's final chapter
26,,,lackluster minor plot thread,,story,narrative,negative,weak,,author,,
27,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disapointing,content,literary_quality,negative,strong,,author,"unsophisticated, almost juvenile in comparison to earlier volumes",
28,b-17,Loved the book .,book,loved,content,general,positive,strong,,author,,
29,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,system,social_services,negative,strong,,author,,
30,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,,book,general,negative,strong,,author,,
31,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,general,neutral,weak,,author,,
32,,,ability to bring an ironic touch,,writing,literary_style,positive,strong,,author,,
33,,,crime novel for the faint hearted,,book,general,negative,strong,,author,,
34,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,courage,general,positive,strong,,author,,
35,,,lesson,,lesson,general,positive,weak,,author,,
36,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",day-to-day insight,appreciated,content,general,positive,weak,,author,for an avid diana fan,
37,,,certain facts,should not have been revealed,content,general,negative,strong,,author,however,
38,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,general,positive,strong,,author,,
39,,,comprehensive and detailed treatment,,book,general,positive,strong,,author,,
40,,,clarity,,content,operational_performance,positive,average,,author,,
41,,,compelling and often moving narrative,,book,general,positive,strong,,author,,
42,,,good reviews,,content,general,positive,weak,,author,,
43,,,exceptional book,,book,general,positive,strong,,author,,
44,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,place,general,positive,strong,,author,,
45,,,rooftop,beyond spectacular,place,general,positive,strong,,author,,
46,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,general,positive,strong,,author,,
47,,,bathroom,great addition,bathroom,general,positive,weak,,author,,
48,h-3,It 's a good place and will definitely consider to come again .,good place,,location,general,positive,weak,,author,,
49,,,coming again,,location,general,positive,strong,,author,,
50,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,store,accessibility,positive,weak,,author,,
51,,,walking distance,easy,distance,accessibility,positive,weak,,author,,
52,,,groceries for breakfasts and snacks,,food,availability,positive,weak,,author,,
53,h-5,"The apartment is kept very clean , and nicely furnished .",cleanliness,very clean,apartment,general,positive,strong,,,,
54,,,furnishing,nicely furnished,apartment,general,positive,average,,,,
55,h-6,Really great location close to so many restaurants .,location,great,location,general,positive,strong,really,author,,
56,,,restaurants,,food,general,positive,weak,,author,,
57,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,person,general,positive,strong,oine,person,,
58,,,responsiveness,very responsive,communication,operational_performance,positive,strong,,oine,,
59,,,preparation,thoughtful,action,operational_performance,positive,strong,,oine,,
60,,,cleanliness,spotless,state,operational_performance,positive,strong,,oine,,
61,,,decoration,nicely decorated,state,operational_performance,positive,strong,,oine,,
62,,,feeling,feels like home,state,operational_performance,positive,strong,,oine,,
63,h-8,Excellent space in a fantastic location .,space,excellent,location,general,positive,strong,,author,,
64,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,location,general,positive,strong,,author,,
65,h-10,By far one of the best locations you could stay at in Boston .,location,one of the best,hotel,general,positive,strong,,author,,
66,h-11,Everything was super clean .,,super clean,,,positive,strong,,author,,
67,h-13,Entry was simple and easy .,entry,simple and easy,content,usability,positive,weak,,author,,
68,h-14,Great location close to the Commons .,location,great,place,general,positive,strong,,author,,
69,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",welcome,,person,social_interaction,positive,strong,,host,,
70,,,help,,action,social_interaction,positive,strong,,host,,
71,,,breakfast,,food,hospitality,positive,weak,,host,,
72,,,coffee,,beverage,hospitality,positive,weak,,host,,
73,h-17,This location does not have a kitchen and you must share a bathroom .,kitchen,,location,general,negative,strong,,author,,
74,,,bathroom,must share,location,general,negative,strong,,author,,
75,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,hit,location,general,positive,strong,,author,,
76,,,360 degree views,perfect,view,general,positive,strong,,author,,
77,,,70-80 degree weather,,weather,general,positive,weak,,author,,
78,h-20,I highly recommend it !,,highly recommend,content,general,positive,strong,i,author,,
79,h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,,
80,h-21,Best location in Boston .,location,best,place,general,positive,strong,,author,,
81,h-28,Great attention to detail and very good communication,attention to detail,great,product,quality,positive,strong,,author,,
82,,,communication,very good,service,quality,positive,strong,,author,,
83,c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,activity,general,positive,strong,i,author,,
84,c-2,Super crinoline for the price !,crinoline,super,product,quality,positive,strong,,author,,
85,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,feature,operational_performance,positive,weak,,author,,
86,c-4,They hold up great !,,great,,,positive,strong,,,,
87,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,life stride shoes,,product,material,negative,strong,i,author,,
88,,,life stride shoes,,product,origin,negative,strong,i,author,,
89,c-7,I use them for musical theatre productions and they holdup well .,musical theatre productions,,content,genre,positive,strong,i,author,,
90,,,they,holdup well,equipment,operational_performance,positive,average,i,author,,
91,c-8,"She said they are so comfortable , and they are perfect .",comfort,so comfortable,shoes,general,positive,strong,she,speaker,,
92,,,perfection,perfect,shoes,general,positive,strong,she,speaker,,
93,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",,could not wear them,product,general,negative,strong,,author,,
94,,,,will return,product,general,negative,strong,,author,,
95,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",comfort,most comfortable shoes I've ever worn,shoes,general,positive,strong,,author,,
96,,,style,stylish,shoes,general,positive,strong,,author,,
97,c-12,I bought 2 other pairs for other cast members !,,bought,product,general,positive,strong,i,author,,
98,c-13,Comfortable and attractive .,comfort,comfortable,furniture,general,positive,strong,,author,,
99,,,attractiveness,attractive,furniture,general,positive,strong,,author,,
100,c-15,Everything else about these tights is amazing .,everything else about these tights,amazing,product,general,positive,strong,,author,,
101,c-16,These shoes are great .,shoes,great,shoes,general,positive,strong,,author,,
102,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,beautiful,legs,aesthetic,positive,strong,,author,,
103,,,seams,coming apart,seams,operational_performance,negative,strong,,author,,
104,c-18,They are nice and exactly what I expected .,,nice,,,positive,weak,,author,,
105,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,product,quality,positive,strong,my husband,husband,,
106,c-20,Very small fit .,small fit,very small fit,product,size,negative,strong,,author,,
107,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,,chart,general,positive,strong,,author,,
108,c-21,The soles are soft too .,soles,soft,shoes,material,positive,weak,,author,,
109,c-24,Order 1 size larger than needed .,order size,,clothing,general,neutral,,,author,,
110,l-1,Great for Programming and for low end gaming,,great,,,positive,strong,,author,,
111,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",broken displays,leads to,display,operational_performance,negative,strong,,author,,"broken displays when the magsafe plug is caught inside the computer upon closing, breaking the monitor"
112,,,magsafe plug,caught inside the computer upon closing,device,operational_performance,negative,strong,,author,,
113,,,monitor,breaking,display,operational_performance,negative,strong,,author,,
114,l-3,Images are too dark and blurry .,images,too dark and blurry,content,visual_quality,negative,strong,,author,,
115,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it's price,product,value,positive,strong,i,author,,
116,l-6,I 'm a mac user and I would love to get this laptop .,laptop,love,laptop,general,positive,strong,i,author,,
117,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,mushy,keyboard,operational_performance,negative,strong,,author,,
118,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,,product,value,positive,strong,,author,,
119,,,8th gen Intel processor,,hardware,performance,positive,strong,,author,,
120,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",solid construction,well made,product,quality,positive,strong,,author,,
121,,,"comfortable, well-sized keyboard",,keyboard,usability,positive,average,,author,,
122,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,,
123,,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,,
124,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
125,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,,product,general,negative,strong,,author,,performs worse than the $ 200 computer I used while waiting on the'replacement'computer I got when the other one crashed
126,,,computer,,product,general,negative,strong,,author,,
127,l-15,It took a few weeks for them to send it back .,,,,,,,,,,
128,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,,process,operational_performance,negative,strong,i,author,,
129,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,average,,author,,
130,l-19,I really liked the laptop for its sleekness and weight .,sleekness,really liked,laptop,design,positive,strong,i,author,,
131,,,weight,really liked,laptop,portability,positive,strong,i,author,,
132,l-24,Delivery - very fast by courier .,delivery,very fast,delivery,general,positive,strong,,author,,
133,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
134,,,screen,not the best,display,operational_performance,negative,weak,,author,,
135,,,price,good,cost,operational_performance,positive,average,,author,,
136,,,gaming laptop,good,laptop,general,positive,average,,author,,
137,,,game,,content,genre,,,,author,,
138,,,laptop,,laptop,general,,,,author,,
139,l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,new,laptop,general,positive,strong,,author,,
