,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written treatment of the subject,content,general,positive,strong,I,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,I,author,,
2,,,Magician 's End,,book,content,neutral,,be forewarned ( as other reviews have noted ),author,,this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,book,content,negative,strong,,author,,
4,,,courageous exit,,book,general,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,keep this one last,book,reading_order,positive,strong,if you 're into diana books,author,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,really a tough one to plod through at points,story,plot,negative,strong,I felt,author,but ultimately satisfying,
7,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,negative,strong,OMG,author,,
8,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,still,author,,
9,,,escape into the magical world,,book,general,positive,weak,,author,just not as much fun to read as I had hoped,
10,,,read as I had hoped,,book,general,negative,strong,,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",the book,,book,general,positive,strong,,author,,teaches the reader a great deal about cancer the disease and its treatment .
12,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,,book,general,,,,author,,"if you want more details about the man in general , his family , his struggles over the years"
14,,,,,book,content,,,,author,,
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,medical_treatment,effectiveness,neutral,weak,,author,,which was also not as simple as one might think
16,,,science and statistics,dreadfully boring,content,general,negative,strong,the above discussion of science and statistics might make this book seem,author,,
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,story,plot,positive,strong,here,author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
18,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,book,content,negative,strong,the writing in particular,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
19,b-17,Loved the book .,,loved,book,general,positive,strong,loved,author,,
20,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,welfare system,operational_performance,negative,strong,,author,just how easy it is for these abused children to get lost,
21,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,And then we,author,,
22,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,negative,strong,author,author,,
23,,,ironic touch,,book,genre,positive,strong,author,author,,author has the ability to bring an ironic touch to the darkest scenes
24,,,crime novel,,book,genre,negative,strong,,author,for the faint hearted,
25,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,people,behavior,positive,strong,,author,a lesson to us all,
26,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,genre,positive,weak,for an avid Diana fan,reader,,
27,,,certain facts,should not have been revealed,content,content_revealed,negative,strong,,reader,,
28,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,storytelling,positive,strong,I,author,,I would have read it much sooner
29,,,this is a comprehensive and detailed treatment,,book,content,positive,strong,,author,,
30,,,explains the science ( and some of the politics ) with clarity,,book,content,positive,strong,,author,,
31,,,provides a compelling and often moving narrative,,book,storytelling,positive,strong,,author,,
32,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,venue,location,positive,strong,,author,,
33,,,rooftop,beyond spectacular,venue,appearance,positive,strong,,author,,
34,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
35,,,bathroom connected to the room,great addition,bathroom,convenience,positive,strong,,author,,
36,h-3,It 's a good place and will definitely consider to come again .,,good place,location,general,positive,strong,it 's,author,,will definitely consider to come again
37,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,store,location,neutral,,,author,,
38,,,walk from,easy,location,accessibility,positive,weak,,author,,
39,,,groceries for breakfasts and snacks,,food,variety,neutral,,,author,,
40,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,"kept very clean , and nicely furnished",apartment,general,positive,strong,,author,,
41,h-6,Really great location close to so many restaurants .,location,great,property,location,positive,strong,really,author,close to so many restaurants,
42,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,service_quality,positive,strong,one,guest,,"very responsive by text and email , and thoughtful with her preparation of the apartment"
43,,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,guest,,
44,,,feels like home,,apartment,comfort,positive,weak,,guest,,
45,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
46,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,Tiffany 's,author,,staying in Boston
47,h-10,By far one of the best locations you could stay at in Boston .,location,best locations you could stay at in Boston,hotel,location,positive,strong,By far one of the best locations you could stay at in Boston,author,,
48,h-11,Everything was super clean .,cleanliness,super clean,location,hygiene,positive,strong,,author,,
49,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
50,h-14,Great location close to the Commons .,location,great,property,location,positive,strong,,author,,
51,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hosts,hospitality,positive,strong,My,author,the second I entered the home,"helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning"
52,,,home,,home,general,positive,,,author,,
53,h-17,This location does not have a kitchen and you must share a bathroom .,location,does not have a kitchen and you must share a bathroom,accommodation,facilities,negative,strong,,author,,
54,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,operational_performance,positive,strong,,author,70-80 degree weather we were enjoying,360 degree views
55,,,70-80 degree weather,,weather,temperature,positive,strong,,author,,
56,h-20,I highly recommend it !,,highly recommend,product/service,general,positive,strong,I,author,,
57,h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,,
58,h-21,Best location in Boston .,location,best,location,general,positive,strong,,author,,
59,h-28,Great attention to detail and very good communication,attention to detail,great,service,operational_performance,positive,strong,Great,author,,
60,,,communication,very good,service,customer_service,positive,strong,very good,author,,
61,c-1,I enjoy dancing with these shoes on my feet .,dancing with these shoes on my feet,,shoes,performance,positive,strong,I,author,,
62,c-2,Super crinoline for the price !,super crinoline,,product,quality,positive,strong,,author,for the price,
63,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,design,positive,weak,,author,,you can wear them as leggings
64,c-4,They hold up great !,,hold up great,product,general,positive,strong,they,author,,
65,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,I,author,,they were not leather
66,,,LifeStride shoes,,shoes,manufacturing_location,negative,strong,they were made in China,author,,
67,c-7,I use them for musical theatre productions and they holdup well .,them,,equipment,durability,positive,weak,I,author,,they holdup well
68,c-8,"She said they are so comfortable , and they are perfect .",they,comfortable,shoes,comfort,positive,strong,she,user,,
69,,,they,perfect,shoes,general,positive,strong,she,user,,
70,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",They slot over the abdomen,cannot wear,product,usability,negative,strong,,author,,will return
71,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,comfortable,footwear,comfort,positive,strong,these,author,,
72,,,shoes,stylish,footwear,aesthetics,positive,weak,they 're,author,,
73,c-12,I bought 2 other pairs for other cast members !,2 other pairs,,shoes,quantity,neutral,,I,author,,
74,c-13,Comfortable and attractive .,,comfortable and attractive,product,general,positive,strong,,,,
75,c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,everything else about these tights,author,,
76,c-16,These shoes are great .,,great,shoes,general,positive,strong,these shoes,author,,
77,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,strong,Although the tights,author,,
78,,,seams,coming apart at the crotch,clothing,durability,negative,strong,I have noticed the the seams,author,,
79,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,weak,they,author,,
80,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,boots,general,positive,strong,my husband,spouse,,
81,c-20,Very small fit .,fit,small,product,size,negative,strong,,author,,
82,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,,product,size,neutral,,follow,author,,
83,c-21,The soles are soft too .,soles,soft,shoes,physical_properties,positive,weak,,author,,
84,c-24,Order 1 size larger than needed .,order size,larger than needed,order,size,negative,strong,order,customer,,
85,l-1,Great for Programming and for low end gaming,Great for Programming,,laptop,performance,positive,strong,,author,,
86,,,for low end gaming,,laptop,gaming_performance,neutral,weak,,author,,
87,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",combination of these design flows,broken displays,display,operational_performance,negative,strong,The combination of these design flows,author,when the magsafe plug is caught inside the computer upon closing,breaking the monitor
88,l-3,Images are too dark and blurry .,images,too dark and blurry,content,visual_quality,negative,strong,,author,,
89,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,software,utility,positive,strong,i,author,,
90,l-6,I 'm a mac user and I would love to get this laptop .,this laptop,would love to get,laptop,general,positive,strong,I 'm a mac user,user,,
91,l-7,Keyboard : it is all mushy no tactile feedback .,tactile feedback,no,keyboard,operational_performance,negative,strong,,author,,
92,,,mushy,it is,keyboard,operational_performance,negative,strong,,author,,
93,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,for the price,author,especially having an 8th gen Intel processor,
94,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,well made,product,operational_performance,positive,strong,,author,,solid construction
95,,,keyboard,"comfortable , well-sized",keyboard,operational_performance,positive,weak,,author,"comfortable , well-sized",
96,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,weak,camera and microphone are both,author,for discord/google hangouts/etc,
97,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,it,author,,
98,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",this computer,performs worse,computer,operational_performance,negative,strong,please do not purchase this computer,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
99,,,$ 200 computer,,computer,operational_performance,positive,,the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed,author,,
100,l-15,It took a few weeks for them to send it back .,,took a few weeks,service,delivery_time,negative,strong,,author,,
101,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,troubleshooting,effectiveness,negative,strong,I have gone through all the troubleshooting steps,user,,still nothing
102,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,weak,even without a SSD,author,,
103,l-19,I really liked the laptop for its sleekness and weight .,sleekness,liked,laptop,design,positive,strong,I,author,,
104,,,weight,liked,laptop,design,positive,strong,I,author,,
105,l-24,Delivery - very fast by courier .,delivery,very fast,service,speed,positive,strong,,author,,
106,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,this laptop,author,,
107,,,screen,not the best but its good for the price,display,operational_performance,positive,weak,the screen,author,good for the price,
108,,,laptop,cheap gaming laptop,laptop,usage,positive,weak,its a cheap gaming laptop,author,,
109,,,laptop,works with every game i trow at it,laptop,gaming_performance,positive,strong,works with every game i trow at it,author,,
110,l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,new,laptop,general,positive,strong,,author,,
111,,,in perfect condition,,laptop,general,positive,strong,,author,,
112,,,works like a charm,,laptop,operational_performance,positive,strong,,author,,
113,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,laptop,operational_performance,negative,strong,I had hoped,user,,as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
114,l-21,Feel really disappointed as was so happy with previous model .,previous model,happy,product,performance,positive,strong,feel,user,,was so happy with previous model
115,,,current model,disappointed,product,performance,negative,strong,feel,user,,
116,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",weird,,restaurant,service,negative,strong,Weird,author,but whatever,
117,,,waiting time,incredibly long time,service,service,negative,strong,We waited for what seemed like an incredibly long time,author,just to get our food,
118,r-2,I come here because you leave full and with money still in your pockets .,service,leave full and with money still in your pockets,business,financial_performance,positive,strong,I,customer,,
119,r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
120,,,service,bad,restaurant,service_quality,negative,strong,the service,author,,just makes things bad here
121,r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",this place,makes me wanting Pho every time I come,restaurant,food,positive,strong,I,author,,
122,,,PhO,,food,taste,positive,strong,,author,I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ),
123,r-5,This is one of my favorite brunch places .,favorite brunch places,,restaurant,preference,positive,strong,this,author,,
124,r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,tasty oils and fresh bread,,food,taste,negative,strong,other establishments on the North End,,,
125,,,,big miss,restaurant,service,negative,strong,,author,,that 's a big miss here !
126,r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",service,great,restaurant,service,positive,strong,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere",author,,
127,,,atmosphere,great,restaurant,ambiance,positive,strong,"The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating",author,,
128,,,decorating,,restaurant,ambiance,neutral,,"The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating",author,,
129,r-9,This will probably be the last time we will come here .,,last time,visit,general,negative,strong,this,author,,
130,r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,idiots,location,operational_performance,negative,strong,stop driving out the wrong way,author,idiots,
131,,,no credit cards,,location,payment_options,negative,strong,no credit cards,author,,
132,,,ATM inside,,location,payment_options,positive,weak,they do have an ATM inside,author,,
133,r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,plenty acceptable,restaurant,general,positive,weak,"So , while I would n't quite recommend it for date night or a rehearsal dinner ,",author,,
134,,,,,restaurant,ambience,neutral,,,author,,
135,r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast and ambiance,enjoyed,restaurant,food_quality,positive,strong,I,author,,
136,,,server ladies,really sweet and helpful,staff,service,positive,strong,,author,,
137,,,pretty crowded,,restaurant,operational_performance,negative,weak,,author,for a weekday,
138,r-14,Great place !,,great,location,general,positive,strong,,author,,
139,r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",,miss,location,visibility,negative,weak,My advice to the owners,author,,"Walking by on E. Hastings , it 's easy to miss this spot"
140,r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,3 stars,restaurant,service_quality,negative,strong,The reason why I gave,author,we had to search for our waitress and it took about a hour before we receive our food,
141,r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,splash of coke,added a splash of coke,drink,taste,negative,strong,he,server,,To add more insult
142,,,,I 'm a relatively calm guy,self,personality,positive,weak,I,author,,
143,r-20,The old place was more accommodating to singles .,accommodating,more accommodating,hotel,service,positive,weak,,author,to singles,
144,r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,this,author,,
145,r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,preparation,negative,strong,,author,,
146,r-27,I was reluctant to go here .,,reluctant,location,general,negative,strong,I,author,,
147,r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
148,,,french fries,to die for,food,taste,positive,strong,,author,,
149,,,milkshakes,,food,taste,positive,strong,dont even get me STARTED,author,,
