,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,genre,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,like it,book,general,positive,strong,I,author,,
2,,,Magician 's End,,book,plot,neutral,,this book sets up Magician 's End,author,be forewarned ( as other reviews have noted ),you will not be particularly satisfied with the ending without keeping this in mind
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,book,content,negative,strong,,author,,
4,,,courageous exit,,book,content,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,keep this one last,book,reading_order,positive,strong,if you 're into Diana books,author,,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through at points,story,plot,negative,strong,I,author,,
7,,,character 's journey,ultimately satisfying,story,plot,positive,strong,I,author,,
8,b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,negative,strong,OMG,reader,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,book,general,positive,weak,still,author,,
10,,,escape into the magical world,,book,experience,positive,weak,,author,just not as much fun to read as I had hoped,
11,,,reading the book,not as much fun to read,book,experience,negative,strong,,author,,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,book,educational_value,positive,strong,,author,,
13,b-12,Highly recommend this book .,book,recommend,book,general,positive,strong,highly recommend,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",more details about the man in general,,book,content,positive,strong,I,author,"his family , his struggles over the years",then I would suggest Roasting in Hell 's Kitchen
15,,,Roasting in Hell 's Kitchen,,book,content,positive,strong,I,author,,
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,treatment,effectiveness,positive,weak,,author,which was also not as simple as one might think,
17,,,science and statistics,dreadfully boring,content,general,negative,strong,this book,author,,
18,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,story,plot,positive,strong,"here , we see that aspect of the tale really expanded upon",author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter
19,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,literary_quality,negative,strong,The writing in particular,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
20,b-17,Loved the book .,book,loved,book,general,positive,strong,loved,author,,
21,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy,welfare system,operational_performance,negative,strong,sad tale,author,just how easy it is for these abused children to get lost,
22,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book,general,negative,strong,And then we,author,,
23,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,negative,strong,Not that there is no humour,author,,
24,,,author's ability to bring an ironic touch to the darkest scenes,,content,genre,positive,strong,the author has the ability to bring an ironic touch to the darkest scenes,author,,
25,,,crime novel for the faint hearted,,content,genre,negative,strong,but this is not a crime novel for the faint hearted,author,,
26,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,people,moral_values,positive,strong,The,author,,
27,,,a lesson to us all,,people,moral_values,positive,weak,,author,,
28,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,genre,positive,weak,For an avid Diana fan,reader,,
29,,,certain facts,should not have been revealed,content,genre,negative,strong,,reader,,
30,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,storytelling,positive,strong,I,author,,"had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner"
31,,,exceptional book,,book,quality,positive,strong,,author,,
32,,,comprehensive and detailed treatment,,book,information_content,positive,strong,,author,,
33,,,explains the science ( and some of the politics ) with clarity,,book,information_content,positive,strong,,author,,
34,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,property,location,positive,strong,,author,,
35,,,rooftop,beyond spectacular,property,appearance,positive,strong,,author,,
36,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,hotel_room,comfort,positive,strong,,author,,
37,,,bathroom connected to the room,great addition,bathroom,convenience,positive,strong,,author,,
38,h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,weak,it 's,author,,
39,,,come again,,location,patronage,positive,strong,will definitely consider,author,,
40,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,store,accessibility,positive,weak,,author,,
41,,,groceries for breakfasts and snacks,,food,quality,positive,weak,,author,,
42,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,apartment,cleanliness,positive,strong,,author,,
43,,,nicely furnished,,apartment,interior_design,positive,strong,,author,,
44,h-6,Really great location close to so many restaurants .,location,great,property,location,positive,strong,really,author,close to so many restaurants,
45,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,service_quality,positive,strong,one,guest,,"very responsive by text and email , and thoughtful with her preparation of the apartment"
46,,,apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,guest,,
47,,,apartment,feels like home,apartment,comfort,positive,weak,,guest,,
48,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
49,,,location,fantastic,property,location,positive,strong,,author,,
50,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,Tiffany 's,Tiffany,,staying in Boston
51,h-10,By far one of the best locations you could stay at in Boston .,location,best locations,accommodation,location,positive,strong,By far,author,,
52,h-11,Everything was super clean .,cleanliness,super clean,location,hygiene,positive,strong,everything,author,,
53,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
54,h-14,Great location close to the Commons .,location,great,property,location,positive,strong,,author,,
55,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hosts,hospitality,positive,strong,My,guest,the second I entered the home,"helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning"
56,,,home,,accommodation,cleanliness,positive,,,guest,,
57,h-17,This location does not have a kitchen and you must share a bathroom .,location,,accommodation,facilities,negative,strong,,author,,This location does not have a kitchen and you must share a bathroom
58,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,rooftop,perfect,location,operational_performance,positive,strong,,author,70-80 degree weather we were enjoying,360 degree views
59,h-20,I highly recommend it !,,highly recommend,product,general,positive,strong,I,author,,
60,h-24,Excellent location for exploring Boston .,location,excellent,place,geographical_location,positive,strong,,author,,Excellent location for exploring Boston .
61,h-21,Best location in Boston .,location,best,place,general,positive,strong,,author,,
62,h-28,Great attention to detail and very good communication,attention to detail,great,service,operational_performance,positive,strong,Great,author,,
63,,,communication,very good,service,quality_of_service,positive,strong,very good,author,,
64,c-1,I enjoy dancing with these shoes on my feet .,dancing with these shoes,enjoy,shoes,user_experience,positive,strong,I,user,,
65,c-2,Super crinoline for the price !,super crinoline,,product,quality,positive,strong,,author,for the price,
66,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice too,product,design,positive,weak,,author,,can wear them as leggings
67,c-4,They hold up great !,They,hold up great,product,general,positive,strong,They,author,,
68,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,I,author,,they were not leather
