,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written treatment of the subject,content,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
2,,,book,,book,general,neutral,weak,be forewarned ( as other reviews have noted ),author,as other reviews have noted,this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,book,content,negative,strong,,author,,
4,,,courageous exit,,book,operational_performance,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,,content,genre,neutral,,if you 're into diana books,author,,I 'd keep this one last after you 've read the rest
6,,,this one,,content,general,neutral,,,author,,
7,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,really a tough one to plod through at points,story,plot,negative,strong,I,author,,
8,,,character 's journey,ultimately satisfying,story,plot,positive,strong,I,author,,
9,b-7,OMG this book had my head spinning .,book,had my head spinning,book,operational_performance,negative,strong,OMG,author,,
10,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,book,general,positive,weak,still,author,,
11,,,escape into the magical world,,content,genre,positive,weak,,author,just not as much fun to read as I had hoped,
12,,,reading the book,,book,operational_performance,negative,weak,,author,,
13,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,book,educational_value,positive,strong,,author,,
14,,,,not being at all didactic in the patronizing sense,book,interpersonal_relationships,positive,weak,,author,,
15,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
16,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,,book,content,,,,author,,"if you want more details about the man in general , his family , his struggles over the years"
17,,,,"more details about the man in general , his family , his struggles over the years",book,content,,,,author,,Roasting in Hell 's Kitchen
18,,,,,book,content,,,,author,"if you want more details about the man in general , his family , his struggles over the years",Roasting in Hell 's Kitchen
19,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,medical_treatments,effectiveness,positive,strong,,author,,
20,,,science and statistics,dreadfully boring,content,entertainment_value,negative,strong,,author,above discussion,
21,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,elevated,plot,storyline,positive,strong,here,author,,
22,,,lackluster minor plot thread,,plot,storyline,negative,weak,,author,,
23,,,level of significance,worthy of Midkemia 's final chapter,plot,storyline,positive,strong,,author,,
24,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,book,content,negative,strong,the writing in particular,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
25,b-17,Loved the book .,,loved,book,general,positive,strong,loved,author,,
26,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy for these abused children to get lost,welfare system,operational_performance,negative,strong,,author,,
27,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,author,,
28,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,negative,strong,author,author,,
29,,,ironic touch,,book,genre,positive,strong,author,author,,author has the ability to bring an ironic touch to the darkest scenes
30,,,crime novel,,book,genre,negative,strong,,author,for the faint hearted,
31,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,women,moral_character,positive,strong,,author,,
32,,,lesson,,knowledge,educational_value,positive,weak,,author,,
33,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book,content,positive,strong,for an avid Diana fan,reader,,
34,,,certain facts,,book,content,negative,strong,,author,,certain facts should not have been revealed
35,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",compelling narrative,,book,storytelling,positive,strong,I,author,,"had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner"
36,,,this is a comprehensive and detailed treatment,exceptional,book,content,positive,strong,,author,,"numerous , good reviews of this exceptional book"
37,,,explains the science ( and some of the politics ) with clarity,,book,content,positive,strong,,author,,
38,,,provides a compelling and often moving narrative,,book,storytelling,positive,strong,,author,,
39,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,property,location,positive,strong,,author,,
40,,,rooftop,beyond spectacular,property,appearance,positive,strong,,author,,
41,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
42,,,bathroom connected to the room,great addition,bathroom,operational_performance,positive,strong,,author,,
43,h-3,It 's a good place and will definitely consider to come again .,,good place,location,general,positive,strong,it,author,,will definitely consider to come again
44,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,store,location,neutral,,,author,,
45,,,walk from,easy,store,accessibility,positive,weak,,author,,
46,,,groceries for breakfasts and snacks,,groceries,quality,neutral,,,author,,
47,h-5,"The apartment is kept very clean , and nicely furnished .",clean,kept very clean,apartment,operational_performance,positive,strong,,author,,
48,,,nicely furnished,,apartment,appearance,positive,strong,,author,,
49,h-6,Really great location close to so many restaurants .,location,great,property,location,positive,strong,,author,close to so many restaurants,
50,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",Oine,terrific host,host,service_quality,positive,strong,Oine was a terrific host,author,,
51,,,responsiveness,very responsive,host,service_quality,positive,strong,responsive by text and email,host,,
52,,,preparation of the apartment,thoughtful,host,service_quality,positive,strong,thoughtful with her preparation of the apartment,host,,
53,,,apartment,spotless and nicely decorated,apartment,property_condition,positive,strong,spotless and nicely decorated,author,,
54,h-8,Excellent space in a fantastic location .,space,excellent,property,operational_performance,positive,strong,,author,,
55,,,location,fantastic,property,location,positive,strong,,author,,
56,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,apartment space,perfect spot,apartment,location,positive,strong,,author,,staying in Boston
57,h-10,By far one of the best locations you could stay at in Boston .,location,best locations you could stay at in Boston,hotel,location,positive,strong,,author,,
58,h-11,Everything was super clean .,cleanliness,super clean,environment,operational_performance,positive,strong,,author,,
59,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
60,h-14,Great location close to the Commons .,location,great,property,general,positive,strong,,author,,close to the Commons
61,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hosts,hospitality,positive,strong,my,author,,"helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning"
62,,,home,,home,accommodation,positive,strong,,author,,
63,,,breakfast and coffee,,breakfast and coffee,food,positive,strong,offering,hosts,,
64,h-17,This location does not have a kitchen and you must share a bathroom .,location,,accommodation,facilities,negative,strong,,author,,does not have a kitchen and you must share a bathroom
65,,,kitchen,,accommodation,facilities,negative,strong,,author,,does not have a kitchen
66,,,bathroom,,accommodation,facilities,negative,strong,,author,you must share,you must share a bathroom
67,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,hit,,location,general,,,,author,,
68,,,rooftop,perfect,location,operational_performance,positive,strong,,author,70-80 degree weather we were enjoying,360 degree views
69,,,360 degree views,,location,operational_performance,,,,author,,
70,,,70-80 degree weather,,weather,general,,,,author,,
71,h-20,I highly recommend it !,,highly recommend,product/service,general,positive,strong,i,author,,
72,h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,,for exploring Boston
73,h-21,Best location in Boston .,location,best,location,general,positive,strong,,author,,
74,h-28,Great attention to detail and very good communication,attention to detail,great,service,operational_performance,positive,strong,,author,,
75,,,communication,very good,service,operational_performance,positive,strong,,author,,
76,c-1,I enjoy dancing with these shoes on my feet .,dancing with these shoes,,shoes,operational_performance,positive,strong,I,author,,
77,c-2,Super crinoline for the price !,price,super,crinoline,cost,positive,strong,,author,,
78,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,operational_performance,positive,weak,,author,,you can wear them as leggings
79,,,clothing,,clothing,general,positive,weak,,author,,
80,c-4,They hold up great !,,hold up great,product,general,positive,strong,they,author,,
81,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,shoes,material,negative,strong,I,author,,they were not leather
82,,,LifeStride shoes,,shoes,origin,negative,strong,I,author,,they were made in China
83,c-7,I use them for musical theatre productions and they holdup well .,they,holdup well,microphones,operational_performance,positive,weak,i,author,,
84,c-8,"She said they are so comfortable , and they are perfect .",they,comfortable,shoes,operational_performance,positive,strong,she,person,,
85,,,they,perfect,shoes,operational_performance,positive,strong,she,person,,
86,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",They slot over the abdomen,cannot wear them,product,operational_performance,negative,strong,they,author,,will return
87,,,,very carefully,author,general,positive,weak,very carefully,author,,
88,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,comfortable shoes,footwear,operational_performance,positive,strong,these,author,,
89,,,shoes,stylish,footwear,aesthetics,positive,strong,they 're,author,,
90,c-12,I bought 2 other pairs for other cast members !,2 other pairs,,shoes,quantity,neutral,,I,author,,
91,c-13,Comfortable and attractive .,,comfortable and attractive,product,general,positive,strong,,author,,
92,c-15,Everything else about these tights is amazing .,,amazing,tights,general,positive,strong,everything else,author,,
93,c-16,These shoes are great .,,great,shoes,general,positive,strong,,author,,
94,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,strong,I,author,,
95,,,seams,coming apart at the crotch,clothing,operational_performance,negative,strong,I have noticed,author,,
96,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,weak,they,author,,
97,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,footwear,operational_performance,positive,strong,my husband,spouse,,
98,c-20,Very small fit .,fit,small,product,size,negative,strong,,author,,
99,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,dance shoes,sizing,positive,strong,follow,author,,
100,c-21,The soles are soft too .,soles,soft,shoes,operational_performance,negative,weak,,author,,
101,c-24,Order 1 size larger than needed .,size,,order,operational_performance,negative,weak,order,,,
102,l-1,Great for Programming and for low end gaming,Great for Programming,,laptop,operational_performance,positive,strong,,author,,
103,,,for low end gaming,,laptop,gaming_performance,neutral,weak,,author,,
104,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",combination of these design flows,broken displays,display,operational_performance,negative,strong,,author,,"when the magsafe plug is caught inside the computer upon closing , breaking the monitor"
105,,,magsafe plug,,magsafe plug,design,negative,strong,,author,,
106,l-3,Images are too dark and blurry .,images,too dark and blurry,photographs,visual_quality,negative,strong,,author,,
107,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",android app development,worth more than it 's price,software,utility,positive,strong,i,author,,
108,l-6,I 'm a mac user and I would love to get this laptop .,,would love to get this laptop,laptop,general,positive,strong,I,author,,I 'm a mac user
109,l-7,Keyboard : it is all mushy no tactile feedback .,tactile feedback,,keyboard,operational_performance,negative,strong,,author,,it is all mushy
110,,,keyboard,,keyboard,general,negative,strong,,author,,
111,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,especially having an 8th gen Intel processor,
112,,,8th gen Intel processor,,product,hardware,positive,strong,,author,,
113,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,well made,device,operational_performance,positive,strong,,author,,
114,,,keyboard,"comfortable , well-sized",keyboard,operational_performance,positive,weak,,author,,
115,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,weak,,author,for discord/google hangouts/etc,
116,,,microphone,high enough quality,microphone,operational_performance,positive,weak,,author,for discord/google hangouts/etc,
117,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
118,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",this computer,performs worse,computer,operational_performance,negative,strong,please do not purchase this computer,author,,it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
119,,,$ 200 computer,,computer,operational_performance,positive,strong,,author,,
120,l-15,It took a few weeks for them to send it back .,delivery time,,product,delivery,negative,weak,,author,,took a few weeks for them to send it back
121,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,troubleshooting process,operational_performance,negative,strong,i,author,,
122,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,average,,author,even without a SSD,
123,l-19,I really liked the laptop for its sleekness and weight .,sleekness,liked,laptop,design,positive,strong,i,author,,
124,,,weight,liked,laptop,design,positive,strong,i,author,,
125,l-24,Delivery - very fast by courier .,delivery,very fast,delivery service,speed,positive,strong,,author,,
126,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,this laptop,author,,
127,,,screen,good,display,operational_performance,positive,weak,the screen,author,its good for the price,
128,,,price,good for the price,laptop,cost,positive,weak,its good for the price,author,,
129,,,gaming laptop,cheap gaming laptop,laptop,genre,positive,strong,its a cheap gaming laptop,author,,
130,l-26,"Laptop was new , in perfect condition and works like a charm .",new,,laptop,general,positive,strong,,author,,
131,,,in perfect condition,,laptop,operational_performance,positive,strong,,author,,
132,,,works like a charm,works like a charm,laptop,operational_performance,positive,strong,,author,,
133,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,,laptop,operational_performance,negative,strong,i,author,,"had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )"
134,l-21,Feel really disappointed as was so happy with previous model .,previous model,happy,product,performance,positive,strong,feel,author,,
135,,,current model,disappointed,product,performance,negative,strong,feel,author,,
136,r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",weird,,restaurant experience,general,negative,strong,I need to eat regardless of the coupon,author,,
137,,,waited for what seemed like an incredibly long time,,service,operational_performance,negative,strong,We waited for what seemed like an incredibly long time just to get our food,author,,
138,r-2,I come here because you leave full and with money still in your pockets .,service,leave full and with money still in your pockets,business,financial_performance,positive,strong,i,customer,,
139,r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,i,author,,
140,,,service,bad,restaurant,operational_performance,negative,strong,the service,author,,just makes things bad here
141,r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",this place,makes me wanting Pho every time I come,restaurant,operational_performance,positive,strong,I,author,,
142,,,PhO,,food,taste,positive,strong,,author,I do n't usually order PhO,my mom is a great Pho cooker
143,r-5,This is one of my favorite brunch places .,,favorite brunch places,restaurant,general,positive,strong,this,author,,
144,r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,tasty oils and fresh bread,,food,taste,negative,strong,other establishments on the North End,other restaurants,,
145,,,,big miss,restaurant,general,negative,strong,,author,,that 's a big miss here !
146,r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,restaurant,ambiance,positive,strong,I,author,,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating
147,,,service,,restaurant,operational_performance,positive,weak,,author,,
148,,,drinks,,restaurant,food_and_beverage,neutral,weak,,author,,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere"
149,r-9,This will probably be the last time we will come here .,,last time,visit,frequency,negative,strong,this,author,,
150,r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,idiots,driving,operational_performance,negative,strong,,author,,
151,,,no credit cards,,payment_options,accessibility,negative,strong,,author,,
152,,,they have an ATM inside,,ATM,accessibility,neutral,weak,,author,,
153,r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,plenty acceptable,restaurant,general,positive,weak,,author,,grabbing a quick lunch or dinner on your way somewhere else
154,,,,not recommend it for date night or a rehearsal dinner,restaurant,general,negative,strong,,author,,
155,r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,restaurant,food,positive,strong,i,author,,
156,,,ambiance,,restaurant,environment,positive,weak,,author,,
157,,,server ladies,really sweet and helpful,restaurant,service,positive,strong,,author,,
158,,,crowded,,restaurant,operational_performance,positive,weak,,author,for a weekday,
159,r-14,Great place !,,great,location,general,positive,strong,,author,,
160,r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",,miss,location,general,negative,weak,my advice to the owners,author,,"Walking by on E. Hastings , it 's easy to miss this spot"
161,r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,3 stars,restaurant,operational_performance,negative,strong,I,author,,we had to search for our waitress and it took about a hour before we receive our food
162,r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,adding a splash of coke to our drinks,more insult,drinks,taste,negative,strong,he,server,,To add more insult
163,,,,I 'm a relatively calm guy,author,personality,positive,weak,I,author,,
164,r-20,The old place was more accommodating to singles .,accommodating,more accommodating,hotel,operational_performance,positive,weak,,author,to singles,
165,r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,this,author,,
166,r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,operational_performance,negative,strong,,author,,
167,r-27,I was reluctant to go here .,,reluctant,location,general,negative,strong,i,author,,
168,r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
169,,,french fries,to die for,food,taste,positive,strong,,author,,
170,,,milkshakes,,food,taste,positive,strong,dont even get me STARTED,author,,
