,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,writing_style,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,like it,book,general,positive,strong,i,author,,
2,,,ending,,book,story_outcome,negative,weak,,author,be forewarned ( as other reviews have noted ),this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,book,content,negative,strong,,author,,
4,,,courageous exit,,book,general,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,positive,strong,if you 're into Diana books,author,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through at points,story,plot,negative,strong,I,author,,
7,,,character 's journey,ultimately satisfying,story,plot,positive,strong,,author,,
8,b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,negative,strong,OMG,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,series,general,positive,weak,still,author,,
10,,,reading the book,not as much fun to read,book,general,negative,strong,,author,,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches the reader a great deal about cancer the disease and its treatment,book,educational_value,positive,strong,,author,,
12,b-12,Highly recommend this book .,,recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,more details about the man in general,book,content,positive,strong,however,author,"if you want more details about the man in general , his family , his struggles over the years",
14,,,Roasting in Hell 's Kitchen,,book,content,positive,strong,,author,,"if you want more details about the man in general , his family , his struggles over the years"
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,medical_treatment,effectiveness,positive,strong,,author,,
16,,,science and statistics,dreadfully boring,content,general,negative,strong,the above discussion of science and statistics might make this book seem,author,,
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,elevated,plot,story_development,positive,strong,we,author,,"Here , we see that aspect of the tale really expanded upon"
18,,,lackluster minor plot thread,,plot,story_development,negative,weak,,author,,
19,,,level of significance,worthy of Midkemia 's final chapter,plot,story_development,positive,strong,,author,,elevating a lackluster minor plot thread to a level of significance
20,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,book,content,negative,strong,the,author,in comparison to earlier volumes,
21,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
22,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy,welfare system,operational_performance,negative,strong,,author,just how easy it is for these abused children to get lost,
23,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,hit rock bottom,book series,general,negative,strong,we,reader,,
24,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,book,genre,negative,strong,author,author,,
25,,,ironic touch,,book,genre,positive,strong,author,author,,author has the ability to bring an ironic touch to the darkest scenes
26,,,crime novel,,book,genre,negative,strong,,author,not for the faint hearted,
27,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,women,personal_characteristics,positive,strong,,author,a lesson to us all,
