,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,general,positive,strong,I,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,like,content,general,positive,strong,I,author,,
2,,,Magician 's End,,content,plot,neutral,,be forewarned,author,other reviews have noted,this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,content,content_nature,negative,strong,,author,,
4,,,courageous exit,,content,content_nature,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,keep this one last,book,general,positive,strong,if you 're into diana books,author,after you 've read the rest,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,story,narrative,negative,strong,I,author,at points,
7,,,character 's journey,ultimately satisfying,story,narrative,positive,strong,ultimately,author,,
8,b-7,OMG this book had my head spinning .,book,had my head spinning,book,general,negative,strong,OMG,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finishing the series,good,series,general,positive,weak,,author,,
10,,,escape into the magical world,,content,genre,positive,weak,,author,just not as much fun to read as I had hoped,
11,,,reading the content,,content,genre,negative,weak,,author,,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches,content,educational_value,positive,strong,,author,about cancer the disease and its treatment,
13,b-12,Highly recommend this book .,book,recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,,book,general,positive,strong,I,author,"if you want more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,medical_treatment,medical_effectiveness,positive,strong,,author,,which was also not as simple as one might think
16,,,science and statistics,dreadfully boring,content,general,negative,strong,this book,author,,
17,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,story,plot,positive,strong,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",author,,elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .
18,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,literary_style,negative,strong,The writing in particular,author,,"unsophisticated , almost juvenile in comparison to earlier volumes"
19,b-17,Loved the book .,book,loved,book,general,positive,strong,,author,,
20,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,sad tale,system,operational_performance,negative,strong,,author,just how easy it is for these abused children to get lost,
21,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,And then we,author,,
22,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,author's ability to bring an ironic touch to the darkest scenes,,content,genre,positive,strong,author,,,Not that there is no humour
23,,,crime novel for the faint hearted,,book,general,negative,strong,,author,,
24,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 lady 's courage,inspirational,behavior,moral,positive,strong,,author,a lesson to us all,
