,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like it,book,general,positive,strong,i,author,,
2,,,,be forewarned,book,general,negative,strong,other reviews,author,,
3,,,ending,not be particularly satisfied,book,general,negative,strong,,author,this book sets up Magician 's End,
4,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,a mix of the Christian beliefs mixed with sexual abuse,book,genre,negative,strong,,author,,
5,,,,courageous exit,book,genre,positive,weak,,author,,
6,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,strong,i,author,if you 're into Diana books,
7,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",,tough one to plod through at points,character journey,general,negative,strong,i,author,,
8,,,,ultimately satifying,character journey,general,positive,strong,i,author,,
9,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,OMG,author,,
10,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
11,,,escape into the magical world,not as much fun to read as I had hoped,book,general,negative,average,,author,,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches the reader a great deal,book,general,positive,strong,,author,not being at all didactic in the patronizing sense,
13,,,cancer the disease and its treatment,,content,topic,positive,strong,,author,,
14,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
15,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,would suggest,book,general,positive,weak,i,author,"more details about the man in general , his family , his struggles over the years",
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",,dreadfully boring,book,general,negative,weak,one might think,author,,
17,,,,n't the case,book,general,positive,weak,,author,,
