,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,better-written treatment,,book,writing_style,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,general,negative,strong,other reviews,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",Christian beliefs mixed with sexual abuse,a mix of,content,genre,neutral,weak,,author,,
4,,,courageous exit,followed by,content,genre,positive,weak,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,strong,if you 're into Diana books,author,,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,storyline,content,negative,strong,i,author,,
7,,,character 's journey,ultimately satifying,storyline,content,positive,strong,i,author,,
8,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,OMG,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,just not as much fun to read as I had hoped,book,general,negative,average,,author,as I had hoped,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,informative,positive,strong,,author,about cancer the disease and its treatment,
12,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,would suggest,book,general,positive,weak,i,author,"if you want more details about the man in general , his family , his struggles over the years",
14,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue,treatment,effectiveness,negative,weak,,author,,
15,,,science and statistics,dreadfully boring,content,genre,negative,weak,,author,,
16,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,plot,plot_development,positive,strong,we,author,,
17,,,lackluster minor plot thread,elevating,plot,plot_development,positive,strong,,author,to a level of significance,worthy of Midkemia 's final chapter
18,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,
19,,,writing,unsophisticated,content,genre,negative,average,,author,,
20,,,writing,almost juvenile,content,genre,negative,average,,author,in comparison to earlier volumes,
21,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
22,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad tale,situation,general,negative,strong,,author,just how easy it is for these abused children,
23,b-19,And then we about hit rock bottom with The Demonwar Saga .,,about hit rock bottom,book,general,negative,strong,we,author,,
24,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,neutral,,,author,,
25,,,ironic touch,,content,genre,positive,weak,,author,to the darkest scenes,
26,,,crime novel,,content,genre,neutral,,,author,,not for the faint hearted
27,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 ladies courage,inspirational,content,general,positive,strong,,author,,
28,,,3 ladies courage,a lesson to us all,content,general,positive,strong,,author,,
29,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,book,content,positive,weak,an avid Diana fan,reader,,
30,,,certain facts,should not have been revealed,book,content,negative,strong,,author,,
31,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content,positive,strong,i,author,,
32,,,treatment,exceptional,book,content,positive,strong,,author,,
33,,,explanation,clear,book,content,positive,weak,,author,for the non-expert,
34,,,politics,,book,content,neutral,,,author,,
35,,,narrative,compelling,book,content,positive,strong,,author,often moving,
36,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
37,,,rooftop,beyond spectacular,location,general,positive,strong,,author,,
38,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
39,,,bathroom,great addition,bathroom,general,positive,strong,,author,connected to the room,
40,h-3,It 's a good place and will definitely consider to come again .,good place,,restaurant,general,positive,weak,,author,,
41,,,consider to come again,,restaurant,general,positive,weak,,author,,
42,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,location,accessibility,positive,weak,,author,a 15 min walk away,
43,,,walking,easy,activity,effort,positive,weak,,author,,
44,,,groceries,,food,general,neutral,,,author,for breakfasts and snacks,
45,h-5,"The apartment is kept very clean , and nicely furnished .",clean,kept very clean,apartment,cleanliness,positive,strong,,author,,
46,,,furnished,nicely furnished,apartment,appearance,positive,average,,author,,
47,h-6,Really great location close to so many restaurants .,location,really great,property,location,positive,strong,,author,close to so many restaurants,
48,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",host,terrific,host,hospitality,positive,strong,,author,,
49,,,preparation,thoughtful,apartment,cleanliness,positive,weak,,author,,
50,,,apartment,spotless,apartment,cleanliness,positive,weak,,author,,
51,,,apartment,nicely decorated,apartment,aesthetics,positive,weak,,author,,
52,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
53,,,location,fantastic,property,general,positive,strong,,author,,
