,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,,better-written,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",it,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,operational_performance,negative,weak,other reviews,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",,a mix of the Christian beliefs mixed with sexual abuse,book,general,negative,strong,,author,,
4,,,,courageous exit,book,general,positive,weak,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through at points,content,narrative_structure,negative,strong,i,author,,
7,,,character 's journey,ultimately satifying,content,narrative_structure,positive,strong,i,author,,
8,b-7,OMG this book had my head spinning .,,OMG this book had my head spinning,book,general,positive,strong,,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,some,book,general,positive,weak,,author,,
11,,,read,not as much fun,book,general,negative,weak,,author,as I had hoped,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
13,,,,not being at all didactic,book,general,positive,strong,,author,in the patronizing sense,
14,b-12,Highly recommend this book .,,Highly recommend,book,general,positive,strong,,author,,
15,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,would suggest,book,general,positive,weak,,author,"if you want more details about the man in general , his family , his struggles over the years",
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue of whether,treatment,effectiveness,negative,weak,,author,,extending the lifespans of those afflicted
17,,,science and statistics,dreadfully boring,content,genre,negative,weak,,author,,
18,,,,n't the case,book,general,positive,weak,,author,,
19,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"expanded upon , elevating",book,general,positive,strong,,author,,worthy of Midkemia 's final chapter
20,,,minor plot thread,lackluster,book,general,negative,weak,,author,,
21,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
22,,,writing,unsophisticated,content,genre,negative,strong,,author,,
23,,,writing,almost juvenile,content,genre,negative,strong,,author,,in comparison to earlier volumes
24,b-17,Loved the book .,book,loved,book,general,positive,strong,,author,,
25,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad tale,situation,general,negative,strong,,author,,
26,,,,just how easy,process,operational_performance,negative,strong,,author,for these abused children,
27,,,,get lost,children,general,negative,strong,,author,in the welfare system,
28,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
29,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,no,book,genre,negative,weak,,author,,
30,,,ironic touch,,content,genre,positive,weak,author,author,,
31,,,crime novel,,book,genre,negative,weak,,author,not for the faint hearted,
32,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,3 ladies courage,inspirational,content,personal_quality,positive,strong,,author,a lesson to us all,
33,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",,appreciated,book,general,positive,weak,for an avid diana fan,author,,
34,,,,certain facts should not have been revealed,book,general,negative,strong,,author,certain,
35,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content,positive,strong,i,author,,
36,,,writing,well,book,writing_style,positive,strong,i,author,,
37,,,treatment,exceptional,book,content,positive,strong,,author,numerous good reviews,
38,,,explanation,clear,book,content,positive,average,,author,,
39,,,narrative,compelling,book,content,positive,strong,,author,,
40,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
41,,,rooftop,beyond spectacular,location,general,positive,strong,,author,,
42,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
43,,,bathroom,great addition,bathroom,operational_performance,positive,strong,,author,connected to the room,
44,h-3,It 's a good place and will definitely consider to come again .,place,good,location,general,positive,weak,,author,,
45,,,come again,will definitely consider,location,general,positive,strong,,author,,
46,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,location,accessibility,neutral,,,author,a 15 min walk away,
47,,,grocery store,easy to walk from,location,accessibility,positive,weak,,author,with a few groceries for breakfasts and snacks,
48,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,property,cleanliness,positive,strong,,author,,
49,,,apartment,nicely furnished,property,appearance,positive,average,,author,,
