,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,better-written treatment,,book,writing_style,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",,really like,book,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,operational_performance,negative,weak,other reviews,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,a mix of,content,genre,negative,weak,,author,,
4,,,courageous exit,followed by a,content,genre,positive,weak,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,strong,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,I,author,,
7,,,character 's journey,satisfying,content,narrative_structure,positive,strong,I,author,,
8,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,omg,author,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,some,book,general,positive,weak,,author,just,
11,,,read,not as much fun,book,general,negative,weak,,author,as I had hoped,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,teaches a great deal,book,general,positive,strong,,author,about cancer the disease and its treatment,
13,,,,not being at all didactic,book,general,positive,strong,,author,in the patronizing sense,
14,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
15,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",,would suggest,book,general,positive,average,,author,"more details about the man in general , his family , his struggles over the years",
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue of whether,medical_treatment,effectiveness,negative,weak,,author,,extending the lifespans of those afflicted
17,,,science and statistics,dreadfully boring,content,content_quality,negative,weak,,author,,
18,,,,n't the case,book,general,negative,weak,,author,above discussion,
19,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,"expanded upon , elevating",content,general,positive,strong,,author,,worthy of Midkemia 's final chapter
