,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,genre,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,content,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,content,general,negative,weak,,author,( as other reviews have noted ),sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",mix of the Christian beliefs mixed with sexual abuse,,content,genre,negative,strong,,author,,
4,,,courageous exit,,content,genre,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,weak,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,i,author,at points,
7,,,character 's journey,satisfying,content,narrative_structure,positive,weak,i,author,,
8,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,omg,reader,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,content,general,positive,weak,,author,,
10,,,escape into the magical world,not as much fun to read as I had hoped,content,general,negative,average,,author,just,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,educational_value,positive,strong,,author,about cancer the disease and its treatment,
12,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
13,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",man in general,,content,general,positive,weak,,author,if you want more details,
14,,,family,,content,general,positive,weak,,author,his family,
15,,,struggles over the years,,content,general,positive,weak,,author,his struggles over the years,
16,,,,would suggest,Roasting in Hell 's Kitchen,general,positive,weak,,author,then,
17,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue,cancer treatments,effectiveness,negative,weak,,author,,
18,,,science and statistics,dreadfully boring,book,content,negative,weak,,author,,
19,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",minor plot thread,lackluster,book,storyline,negative,weak,,,,
20,,,level of significance,worthy of Midkemia 's final chapter,book,storyline,positive,strong,,,,
21,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,"unsophisticated , almost juvenile in comparison to earlier volumes"
22,b-17,Loved the book .,book,loved,content,general,positive,strong,,author,,
23,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,welfare system,easy to get lost,system,operational_performance,negative,strong,,author,just how easy,
24,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
25,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,neutral,,,author,,
26,,,ironic touch,,content,genre,positive,weak,,author,to the darkest scenes,
27,,,crime novel,,content,genre,negative,strong,,author,not for the faint hearted,
28,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,personal_trait,positive,strong,,author,,
29,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",,appreciated,content,general,positive,weak,an avid diana fan,author,,
30,,,certain facts,should not have been revealed,content,content_disclosure,negative,strong,,author,certain,
31,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,content,genre,positive,strong,,author,,
32,,,narrative,well told,content,genre,positive,strong,,author,,
33,,,treatment,exceptional,content,genre,positive,strong,,author,"numerous , good reviews",
34,,,treatment,comprehensive and detailed,content,genre,positive,strong,,author,,
35,,,explanation,clear,content,genre,positive,strong,,author,,
36,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
37,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
38,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
39,,,bathroom,great addition,bathroom,utility,positive,strong,,author,connected to the room,
40,h-3,It 's a good place and will definitely consider to come again .,good place,,restaurant,general,positive,weak,,author,,
41,,,consider to come again,,restaurant,general,positive,weak,,author,definitely,
