,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,genre,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,content,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,content,general,negative,weak,,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,,content,genre,negative,strong,,author,,
4,,,courageous exit,,content,genre,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,negative,strong,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,I,author,,
7,,,character 's journey,satifying,content,narrative_structure,positive,strong,I,author,,
8,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,omg,reader,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,not as much fun to read as I had hoped,book,general,negative,weak,,author,just,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",,not being at all didactic in the patronizing sense,book,general,positive,strong,,author,,
12,,,the book,teaches the reader a great deal about cancer the disease and its treatment,content,educational_value,positive,strong,,author,,
13,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,,content,genre,positive,strong,I,author,"more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans of those afflicted,treatment,effectiveness,positive,weak,,author,,
16,,,science and statistics,dreadfully boring,content,genre,negative,weak,,author,,
17,,,this book,n't the case,book,general,negative,weak,,author,,
18,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,content,genre,positive,strong,"here , we see that",author,,
19,,,elevating,,content,genre,positive,strong,to a level of significance,author,worthy of Midkemia 's final chapter,
20,,,lackluster minor plot thread,,content,genre,negative,weak,,author,,
21,,,level of significance,worthy of Midkemia 's final chapter,content,genre,positive,strong,,author,,
22,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,
23,,,writing,unsophisticated,content,genre,negative,weak,,author,almost juvenile,
24,,,writing,juvenile,content,genre,negative,weak,,author,in comparison to earlier volumes,
25,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
26,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad tale,situation,general,negative,strong,,author,,
27,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
28,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,negative,weak,,author,,
29,,,ironic touch,,content,genre,positive,weak,,author,to the darkest scenes,
30,,,crime novel,,content,genre,negative,strong,,author,not for the faint hearted,
31,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,character,personal_trait,positive,strong,,author,a lesson to us all,
32,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,informational_content,positive,weak,for an avid diana fan,reader,,
33,,,certain facts,should not have been revealed,content,informational_content,negative,strong,,author,certain,
34,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,content,genre,positive,strong,I,reader,,
35,,,narrative,well told,content,genre,positive,strong,I,reader,,
36,,,book,exceptional,content,genre,positive,strong,,author,numerous good reviews,
37,,,treatment,comprehensive and detailed,content,genre,positive,strong,,author,for the non-expert,
38,,,explanation,clear,content,genre,positive,weak,,author,,
39,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
40,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
