,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment of the subject,better-written,content,genre,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,really like,content,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,content,general,negative,weak,,author,as other reviews have noted,sets up Magician 's End
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,,content,genre,negative,strong,,author,,
4,,,courageous exit,,content,genre,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,diana books,,content,genre,positive,,you,reader,,
6,,,this one,keep last,book,general,negative,average,,author,after you 've read the rest,
7,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,I,author,,
8,,,character 's journey,satifying,content,narrative_structure,positive,strong,I,author,,
9,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,omg,author,,
10,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,content,general,positive,weak,,author,,
11,,,escape into the magical world,,content,general,positive,weak,,author,just not as much fun to read as I had hoped,
12,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,educational_value,positive,strong,,author,,about cancer the disease and its treatment
13,,,book,not being at all didactic,content,presentation,positive,weak,,author,in the patronizing sense,
14,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
15,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",Roasting in Hell 's Kitchen,,content,genre,positive,strong,I,author,"more details about the man in general , his family , his struggles over the years",
16,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,extending the lifespans,treatment,effectiveness,positive,average,,author,,whether
17,,,science and statistics,dreadfully boring,content,genre,negative,weak,,author,,
18,,,this book,n't the case,book,general,negative,weak,,author,,science and statistics might make this book seem
19,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,
20,,,writing,unsophisticated,content,genre,negative,weak,,author,almost juvenile,
21,,,writing,juvenile,content,genre,negative,weak,,author,in comparison to earlier volumes,
22,b-17,Loved the book .,book,loved,content,general,positive,strong,,author,,
23,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,,sad tale,situation,general,negative,strong,,author,,
24,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
25,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,positive,weak,,author,,
26,,,ironic touch,,content,genre,positive,weak,,author,to the darkest scenes,
27,,,crime novel,,content,genre,negative,strong,,author,not for the faint hearted,
28,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,personal_trait,positive,strong,,author,,
29,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,content_quality,positive,weak,for an avid diana fan,reader,,
30,,,certain facts,should not have been revealed,content,content_quality,negative,strong,certain facts,author,,
31,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,content,genre,positive,strong,I,author,,
32,,,treatment,exceptional,content,genre,positive,strong,,author,,
33,,,explanation,clear,content,genre,positive,weak,,author,,
34,,,narrative,compelling,content,genre,positive,strong,,author,,
35,,,treatment,comprehensive and detailed,content,genre,positive,strong,,author,,
36,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
37,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
38,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
39,,,bathroom,great addition,bathroom,utility,positive,strong,,author,connected to the room,
40,h-3,It 's a good place and will definitely consider to come again .,good place,,restaurant,general,positive,weak,,author,,
41,,,consider to come again,,restaurant,general,positive,weak,,author,definitely,
