,id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
0,b-1,I ca n't imagine a better-written treatment of the subject .,treatment,better-written,book,general,positive,strong,i,author,,
1,b-2,"I really like it.Be forewarned ( as other reviews have noted ) , this book sets up Magician 's End and you will not be particularly satisfied with the ending without keeping this in mind .",book,like,content,general,positive,strong,i,author,,
2,,,ending,not be particularly satisfied,book,general,negative,weak,,author,"be forewarned ( as other reviews have noted ) , this book sets up Magician 's End",
3,b-3,"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",christian beliefs mixed with sexual abuse,,content,genre,negative,strong,,author,,
4,,,courageous exit,,content,genre,positive,strong,,author,,
5,b-4,If you 're into Diana books I 'd keep this one last after you 've read the rest .,,keep this one last,book,general,positive,average,,author,if you 're into Diana books,
6,b-6,"The truth is , I felt the character 's journey was really a tough one to plod through at points , but ultimately satifying .",character 's journey,tough one to plod through,content,narrative_structure,negative,strong,i,author,,
7,,,character 's journey,satifying,content,narrative_structure,positive,weak,i,author,,
8,b-7,OMG this book had my head spinning .,,had my head spinning,book,general,positive,strong,omg,reader,,
9,b-10,"Still , it was good to finish the series finally and there was some escape into the magical world ... just not as much fun to read as I had hoped .",finish the series,good,book,general,positive,weak,,author,,
10,,,escape into the magical world,,content,genre,positive,weak,,author,just not as much fun to read as I had hoped,
11,b-11,"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",book,teaches a great deal,content,educational_value,positive,strong,,author,about cancer the disease and its treatment,
12,,,book,not being at all didactic,content,presentation,positive,weak,,author,in the patronizing sense,
13,b-12,Highly recommend this book .,,highly recommend,book,general,positive,strong,,author,,
14,b-13,"However , if you want more details about the man in general , his family , his struggles over the years , then I would suggest Roasting in Hell 's Kitchen .",roasting in hell 's kitchen,,content,genre,positive,strong,i,author,"if you want more details about the man in general , his family , his struggles over the years",
15,b-14,"There is also the issue of whether various treatments were actually extending the lifespans of those afflicted , which was also not as simple as one might think.While the above discussion of science and statistics might make this book seem dreadfully boring , this is n't the case .",various treatments,issue,medical_treatment,effectiveness,negative,weak,,author,,
16,,,science and statistics,dreadfully boring,content,genre,negative,weak,,author,,
17,,,book,n't the case,content,general,positive,weak,,author,,
18,b-15,"Here , we see that aspect of the tale really expanded upon , elevating a lackluster minor plot thread to a level of significance worthy of Midkemia 's final chapter .",aspect of the tale,expanded upon,content,plot,positive,strong,,author,,
19,,,minor plot thread,elevating,content,plot,positive,strong,,author,worthy of Midkemia 's final chapter,
20,b-16,"The writing in particular is disapointing : unsophisticated , almost juvenile in comparison to earlier volumes .",writing,disappointing,content,genre,negative,strong,,author,in particular,
21,,,writing,unsophisticated,content,genre,negative,weak,,author,,
22,,,writing,almost juvenile,content,genre,negative,weak,,author,in comparison to earlier volumes,
23,b-17,Loved the book .,,loved,book,general,positive,strong,,author,,
24,b-18,Sad tale of just how easy it is for these abused children to get lost in the welfare system .,tale,sad,story,general,negative,weak,,author,,
25,,,just how easy it is for these abused children to get lost in the welfare system,,system,operational_performance,negative,strong,,author,,
26,b-19,And then we about hit rock bottom with The Demonwar Saga .,The Demonwar Saga,about hit rock bottom,book,general,negative,strong,,author,,
27,b-20,Not that there is no humour the author has the ability to bring an ironic touch to the darkest scenes but this is not a crime novel for the faint hearted .,humour,,content,genre,negative,weak,,author,,
28,,,ironic touch,,content,genre,positive,weak,,author,to the darkest scenes,
29,,,crime novel,,content,genre,negative,weak,,author,not for the faint hearted,
30,b-20,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,courage,inspirational,3 ladies,personal_trait,positive,strong,,author,,
31,b-26,"For an avid Diana fan , the innocent day-to-day insight is appreciated , however , certain facts should not have been revealed .",innocent day-to-day insight,appreciated,content,general,positive,weak,an avid diana fan,author,,
32,,,certain facts,should not have been revealed,content,general,negative,strong,,author,,
33,b-22,"I have had this on my shelf for several years for intended reading : Had I appreciated what a compelling narrative Mukherjee sets out , and how well he tells it , I would have read it much sooner.As there are numerous , good reviews of this exceptional book , I will not pile on , except to say that this is a comprehensive and detailed treatment for the non-expert , that manages to explain the science ( and some of the politics ) with clarity , while providing a compelling and often moving narrative .",narrative,compelling,book,content,positive,strong,i,author,had i appreciated,
34,,,writing,well,book,writing_style,positive,strong,he,author,,
35,,,treatment,exceptional,book,content,positive,strong,,author,,
36,,,explanation,clear,book,content,positive,strong,,author,,
37,,,narrative,compelling,book,content,positive,strong,,author,provides,
38,h-1,The location is unbeatable and the rooftop was beyond spectacular .,location,unbeatable,location,general,positive,strong,,author,,
39,,,rooftop,beyond spectacular,rooftop,general,positive,strong,,author,,
40,h-2,The room was very comfortable and the bathroom connected to the room was a great addition .,room,very comfortable,room,comfort,positive,strong,,author,,
41,,,bathroom connected to the room,great addition,bathroom,utility,positive,strong,,author,,
42,h-3,It 's a good place and will definitely consider to come again .,good place,,restaurant,general,positive,weak,,author,,
43,,,consider to come again,,restaurant,general,positive,weak,,author,definitely,
44,h-4,"There is a grocery store a 15 min walk away , which was easy to walk from with a few groceries for breakfasts and snacks .",grocery store,,location,accessibility,positive,weak,,author,a 15 min walk away,
45,,,grocery store,,location,accessibility,positive,weak,,author,easy to walk from,
46,,,grocery store,,location,accessibility,positive,weak,,author,with a few groceries for breakfasts and snacks,
47,h-5,"The apartment is kept very clean , and nicely furnished .",apartment,kept very clean,property,cleanliness,positive,strong,,property_manager,,
48,,,apartment,nicely furnished,property,aesthetics,positive,average,,property_manager,,
49,h-6,Really great location close to so many restaurants .,location,really great,property,location,positive,strong,,author,close to so many restaurants,
50,h-7,"Oine was a terrific host - very responsive by text and email , and thoughtful with her preparation of the apartment , which was spotless and nicely decorated , and feels like home .",oine,terrific,host,hospitality,positive,strong,,author,,
51,,,oine,very responsive,host,communication,positive,strong,,author,by text and email,
52,,,preparation of the apartment,spotless and nicely decorated,apartment,cleanliness,positive,strong,,author,,
53,,,apartment,feels like home,apartment,comfort,positive,strong,,author,,
54,h-8,Excellent space in a fantastic location .,space,excellent,property,general,positive,strong,,author,,
55,,,location,fantastic,property,general,positive,strong,,author,,
56,h-9,Tiffany 's apartment space is the perfect spot if you 're staying in Boston .,tiffany 's apartment space,perfect spot,accommodation,location,positive,strong,,author,if you 're staying in boston,
57,h-10,By far one of the best locations you could stay at in Boston .,location,best,accommodation,quality,positive,strong,,author,,
58,h-11,Everything was super clean .,everything,super clean,content,general,positive,strong,,author,,
59,h-13,Entry was simple and easy .,entry,simple and easy,process,operational_performance,positive,strong,,author,,
60,h-14,Great location close to the Commons .,location,great,place,general,positive,strong,,author,close to the Commons,
61,h-16,"My hosts made me feel welcome the second I entered the home , helping me carry my items upstairs , explaining where everything was and offering me breakfast and coffee in the morning .",hosts,made me feel welcome,hosts,hospitality,positive,strong,,author,,
62,,,hosts,helping me carry my items upstairs,hosts,hospitality,positive,strong,,author,,
63,,,hosts,explaining where everything was,hosts,hospitality,positive,weak,,author,,
64,,,hosts,offering breakfast and coffee in the morning,hosts,hospitality,positive,strong,,author,,
65,h-17,This location does not have a kitchen and you must share a bathroom .,location,,property,facilities,negative,strong,,author,,
66,,,kitchen,,property,facilities,negative,strong,,author,,
67,,,bathroom,,property,facilities,negative,strong,,author,must share,
68,h-19,The hit was the rooftop which allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying .,360 degree views,perfect,view,operational_performance,positive,strong,,author,,70-80 degree weather we were enjoying
69,,,rooftop,,location,general,positive,strong,,author,,allowed for 360 degree views which was perfect for the 70-80 degree weather we were enjoying
70,h-20,I highly recommend it !,,highly recommend,book,general,positive,strong,i,author,,
71,h-24,Excellent location for exploring Boston .,location,excellent,place,general,positive,strong,,author,,
72,h-21,Best location in Boston .,,best,location,general,positive,strong,,author,,
73,h-28,Great attention to detail and very good communication,attention to detail,great,work,quality,positive,strong,,author,,
74,,,communication,very good,communication,quality,positive,average,,author,,
75,c-1,I enjoy dancing with these shoes on my feet .,dancing,enjoy,shoes,operational_performance,positive,average,i,author,,
76,c-2,Super crinoline for the price !,super crinoline,,product,price,positive,strong,,author,,
77,c-3,The transition option is nice too so you can wear them as leggings .,transition option,nice,clothing,design,positive,weak,,author,,
78,c-4,They hold up great !,,hold up great,product,general,positive,strong,they,author,,
79,c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,always worn,product,brand_loyalty,positive,strong,I,customer,,
80,,,LifeStride shoes,not leather,product,material,negative,strong,,customer,,
81,,,LifeStride shoes,made in China,product,manufacturing_location,negative,strong,,customer,,
82,c-7,I use them for musical theatre productions and they holdup well .,,holdup well,product,durability,positive,average,i,author,,
83,,,,,product,application,positive,,i,author,for musical theatre productions,
84,c-8,"She said they are so comfortable , and they are perfect .",they,so comfortable,shoes,comfort,positive,strong,she,speaker,,
85,,,they,perfect,shoes,general,positive,strong,she,speaker,,
86,c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",slots,,product,operational_performance,negative,weak,I,author,,
87,,,putting them on,,product,operational_performance,negative,weak,I,author,very carefully,
88,,,wear,,product,operational_performance,negative,weak,,author,,
89,,,return,,product,operational_performance,negative,weak,,author,,
90,c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,
91,,,shoes,stylish,footwear,appearance,positive,weak,,author,,
92,c-12,I bought 2 other pairs for other cast members !,,bought,product,general,positive,strong,i,author,2 other pairs for other cast members,
93,c-13,Comfortable and attractive .,design,attractive,product,appearance,positive,weak,,author,,
94,,,comfort,comfortable,product,ergonomics,positive,weak,,author,,
95,c-15,Everything else about these tights is amazing .,everything else,amazing,tights,general,positive,strong,,author,,
96,c-16,These shoes are great .,shoes,great,product,general,positive,strong,,author,,
97,c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,clothing,appearance,positive,weak,I,author,,
98,,,seams,coming apart,clothing,durability,negative,weak,I,author,at the crotch,
99,c-18,They are nice and exactly what I expected .,,nice,product,general,positive,weak,,author,,
100,,,,exactly what I expected,product,general,positive,average,,author,,
101,c-19,"My husband loves his boots , excellent quality .",boots,excellent quality,product,quality,positive,strong,my husband,husband,,
102,c-20,Very small fit .,size,very small,product,physical_properties,negative,strong,,author,,
103,c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,capezio size chart,usability,positive,strong,,author,,
104,c-21,The soles are soft too .,soles,soft,product,physical_properties,positive,weak,,author,,
105,c-24,Order 1 size larger than needed .,order,,order,general,negative,weak,,author,size larger than needed,
106,l-1,Great for Programming and for low end gaming,,great,laptop,general,positive,strong,,author,,
107,,,programming,,laptop,use_case,positive,strong,,author,,
108,,,low end gaming,,laptop,use_case,positive,strong,,author,,
109,l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken displays,design,operational_performance,negative,strong,,author,,"the magsafe plug is caught inside the computer upon closing , breaking the monitor"
110,,,magsafe plug,,design,operational_performance,negative,strong,,author,inside the computer upon closing,breaking the monitor
111,l-3,Images are too dark and blurry .,images,too dark and blurry,visual_content,visual_quality,negative,strong,,author,,
112,l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value,positive,strong,,author,,
113,l-6,I 'm a mac user and I would love to get this laptop .,laptop,,product,general,positive,strong,i 'm a mac user,user,,
114,l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,all mushy,keyboard,operational_performance,negative,strong,,author,,
115,,,tactile feedback,,keyboard,operational_performance,negative,strong,,author,,
116,l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,product,cost,positive,strong,,author,,
117,,,8th gen Intel processor,,product,hardware,positive,weak,,author,,
118,l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,product,build_quality,positive,strong,,author,,
119,,,keyboard,"comfortable , well-sized",keyboard,ergonomics,positive,average,,author,,
120,l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,,
121,,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,,
122,l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,weak,,author,,
123,l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,operational_performance,negative,strong,,author,,
124,,,computer,$ 200 computer,computer,price,positive,weak,,author,,
125,,,computer,' replacement ' computer,computer,general,positive,weak,,author,,
126,,,computer,the other one,computer,general,negative,weak,,author,crashed,
127,l-15,It took a few weeks for them to send it back .,,took a few weeks,service,operational_performance,negative,average,,author,,
128,l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,,process,effectiveness,negative,strong,i,author,,
129,l-18,"Even without a SSD , it is still pretty fast .",speed,pretty fast,computer,operational_performance,positive,average,,author,even without a SSD,
130,l-19,I really liked the laptop for its sleekness and weight .,laptop,liked,device,design,positive,strong,i,author,,
131,l-24,Delivery - very fast by courier .,delivery,very fast,service,operational_performance,positive,strong,,author,,
132,l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,laptop,general,positive,strong,,author,,
133,,,screen,not the best,display,operational_performance,negative,weak,,author,but its good for the price,
134,,,gaming laptop,cheap,laptop,price,positive,weak,,author,,
135,,,works with every game,,gaming_performance,operational_performance,positive,strong,,author,i trow at it,
136,l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,new,product,general,positive,strong,,author,,
137,,,laptop,in perfect condition,product,general,positive,strong,,author,,
138,,,laptop,works like a charm,product,operational_performance,positive,strong,,author,,
139,l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,better,battery,operational_performance,negative,average,i,author,,
